acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
-0.028609,-0.114863,0.968985,0.037756,-0.019564,-0.015703,down
-0.028609,-0.121268,0.975695,0.025056,-0.015016,-0.0133,down
-0.029036,-0.123891,0.978135,0.018106,-0.026515,-0.009525,down
-0.004697,-0.12078,0.967216,-0.02969,-0.53407,-0.196158,down
-0.116449,-0.119194,0.93818,-0.092244,-0.959421,-0.256395,down
-0.307745,-0.080337,0.924455,-0.127768,-1.053982,-0.350955,down
-0.49898,-0.054046,0.880657,-0.115326,-0.781369,-0.298613,down
-0.576877,-0.019825,0.792024,-0.04994,-0.804538,-0.173161,down
-0.655689,0.019825,0.700463,-0.065043,-0.860313,-0.203966,down
-0.746945,0.043127,0.633424,-0.012614,-0.430586,-0.118329,down
-0.07015,-0.121268,0.981978,0.008238,0.015617,0.009782,down
-0.054046,-0.108092,0.948489,0.01699,-0.045135,-0.030462,down
-0.060207,-0.114436,0.959896,-0.004205,-0.256566,-0.07697,down
-0.065758,-0.104127,0.912011,-0.094904,-1.227486,-0.321867,down
-0.276513,-0.064233,0.896578,-0.117815,-1.08513,-0.345035,down
-0.479826,-0.051606,0.905667,-0.041188,-0.59774,-0.253563,down
-0.561383,-0.040443,0.837103,0.003261,-0.49211,-0.053802,down
-0.621224,-0.00915,0.769637,-0.043934,-0.478209,-0.102541,down
-0.678686,0.028975,0.699731,0.015875,-0.604433,-0.148019,down
-0.750056,0.036356,0.624091,0.050284,-0.617218,-0.072422,down
0.031537,-0.151768,0.96624,0.026944,-0.024198,0.003347,down
0.0305,-0.149328,0.965203,0.023426,-0.04299,-0.005835,down
0.033489,-0.145424,0.961116,0.025742,-0.065128,-0.01965,down
0.039894,-0.142984,0.938363,-0.082118,-0.490222,-0.177795,down
-0.061427,-0.119987,0.887977,-0.171445,-1.225513,-0.302989,down
-0.306098,-0.096014,0.938424,-0.1046,-0.653344,-0.108462,down
-0.430538,-0.073444,0.944707,0.043247,-0.300157,-0.077571,down
-0.469578,-0.062708,0.886208,-0.0786,-0.31689,-0.034924,down
-0.511363,-0.023302,0.841312,-0.085894,-0.400638,-0.058779,down
-0.562481,0.006649,0.792329,-0.031148,-0.385021,-0.095934,down
-0.078263,-0.086132,0.959347,0.086924,-0.071564,-0.095161,down
-0.084729,-0.124745,0.98576,-0.050455,-0.146475,-0.068647,down
-0.084302,-0.065575,0.97539,-0.021109,-0.247642,-0.126052,down
-0.097539,-0.04148,0.948428,-0.051742,-0.760947,-0.28351,down
-0.259128,-0.036539,0.912072,0.057921,-0.950068,-0.241207,down
-0.435418,-0.045811,0.922808,-0.115927,-0.433074,-0.184573,down
-0.512034,-0.033428,0.859856,-0.063584,-0.370262,-0.125709,down
-0.560651,0.01708,0.818681,-0.115498,-0.449549,-0.147933,down
-0.609207,0.064294,0.755363,-0.037841,-0.507813,-0.134633,down
-0.66368,0.098088,0.694912,-0.017505,-0.467998,-0.145531,down
-0.054534,-0.141825,0.977769,-0.001974,-0.014673,-0.007551,down
