acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
-0.800564,-0.000793,0.596946,0.02231,-0.028231,-0.000429,down
-0.801418,0.000366,0.592188,0.024541,-0.0127,0.030462,down
-0.803553,0.000061,0.596885,0.038013,-0.006607,0.01596,down
-0.791231,0.002562,0.605425,0.045049,-0.000686,0.009611,down
-0.786473,-0.000732,0.60268,0.036726,-0.002145,0.004891,down
-0.795257,-0.001952,0.603229,0.003261,-0.026772,-0.010297,down
-0.789584,-0.001769,0.604571,0.005835,-0.021624,-0.024627,down
-0.790865,-0.00061,0.605059,0.031234,-0.009868,0.003776,down
-0.790682,-0.002318,0.606828,0.051571,-0.030119,-0.009954,down
-0.787388,-0.005795,0.606706,0.151966,-0.049855,-0.008667,down
-0.954162,-0.00061,0.301218,0.012614,-0.009353,-0.008752,down
-0.955321,0.001098,0.302377,0.039129,-0.031234,-0.002403,down
-0.95465,0.001342,0.302255,0.052515,-0.025657,0.003776,down
-0.956785,-0.000915,0.301462,0.050369,-0.001716,-0.021709,down
-0.953064,0.001586,0.306708,0.024026,-0.031749,-0.003432,down
-0.947391,0.001525,0.302499,0.069333,-0.020422,0.016733,down
-0.951661,-0.000976,0.305122,0.038871,-0.033637,0.002746,down
-0.951905,-0.003416,0.304512,0.010898,-0.029175,-0.011927,down
-0.95282,-0.001098,0.304695,0.02394,-0.018106,-0.011241,down
-0.937082,0.000061,0.304512,0.046937,-0.036125,0.006092,down
-0.997655,-0.015006,0.109861,0.027201,-0.030891,0.006607,down
-0.997594,-0.016165,0.109373,0.030462,-0.018191,-0.021795,down
-1.000278,-0.015189,0.107482,0.039558,-0.017333,0.005578,down
-0.99674,-0.015433,0.111203,0.022825,-0.031921,-0.003089,down
-0.998265,-0.031232,0.124623,0.029089,-0.016475,0.000086,down
-0.999668,-0.016043,0.10736,0.016046,-0.01699,0.006865,down
-0.996496,-0.016104,0.112362,0.023597,-0.031921,0.021881,down
-0.99613,-0.016104,0.11224,0.020251,-0.033808,-0.000686,down
-0.997594,-0.016348,0.110776,0.031492,-0.026429,-0.002574,down
-0.998509,-0.016287,0.1098,0.023855,-0.018706,-0.001888,down
-1.005219,-0.02989,-0.015799,0.019908,-0.024026,0.003604,down
-1.005463,-0.029402,-0.015006,0.023855,-0.015274,-0.003003,down
