acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction,trainable
0.1789,0.1119,0.8602,-0.0284,-0.931,0.027,139.6392,347.5145,7.484,down,train
0.3566,0.0949,0.9105,0.1149,-1.3445,-0.4183,131.9788,333.9965,10.9103,down,train
0.4994,0.1068,0.7903,0.2221,-1.219,0.0161,127.6827,324.9034,15.0657,down,train
0.7196,0.2527,0.6733,-0.1252,-0.3757,0.0781,126.8999,319.3769,16.3383,down,train
0.6822,0.1515,0.7099,0.0715,-0.7828,-0.1898,123.6817,316.7379,16.5314,down,train
0.8532,0.212,0.5659,0.1888,-0.978,0.1226,120.3726,307.9677,20.3132,down,train
0.8966,0.2416,0.3919,-0.0947,-0.3155,0.0225,115.7471,302.0899,23.9885,down,train
0.9041,0.2333,0.4128,-0.0107,0.6881,0.0038,117.0139,304.8913,21.2157,down,train
0.7079,0.1903,0.6914,-0.153,1.5858,0.2354,128.047,325.3472,7.8409,down,train
0.3639,0.1598,0.8841,0.0831,1.1845,0.2906,131.2,346.7386,5.7741,down,train
0.2214,0.1445,0.966,-0.0959,1.5262,0.1822,134.8604,1.9767,4.5382,down,train
-0.099,0.1233,0.8376,-0.5391,1.4404,0.1135,139.4936,19.8967,3.0353,down,train
-0.2091,0.0825,1.0052,-0.0415,-0.9044,-0.1254,138.658,14.0801,1.1093,down,train
0.1033,0.085,0.9638,0.1399,-1.507,-0.0444,139.4254,355.7475,2.1921,down,train
0.4124,0.1792,0.9119,0.1219,-1.1817,-0.1034,136.7137,339.7887,4.1867,down,train
0.6345,0.1804,0.7284,0.015,-1.2187,0.0191,137.2691,323.3691,4.8075,down,train
0.8183,0.1571,0.552,0.0098,-0.8986,0.2234,137.5411,309.7848,5.7515,down,train
0.8694,0.1435,0.5071,0.1521,0.5201,-0.0065,137.7609,312.1882,6.2638,down,train
0.6364,0.0456,0.7849,-0.3063,1.3943,0.3172,143.4952,334.9323,356.0436,down,train
0.4,0.0534,0.88,0.0159,1.8473,-0.3379,138.5327,354.2011,0.2857,down,train
0.073,0.0767,0.9704,0.0547,0.9814,0.1764,140.6152,4.1829,3.6877,down,train
-0.1286,0.0328,0.9658,-0.1301,1.0333,0.0127,140.9718,17.5184,0.6894,down,train
-0.2147,0.0371,0.9558,-0.0659,-0.2776,-0.0179,140.6421,16.2729,359.9792,down,train
0.001,0.041,0.9765,0.4673,-2.1524,-0.1583,136.9931,351.006,6.3086,down,train
0.4172,0.111,0.8878,0.0269,-1.3729,-0.2185,135.2804,335.2819,6.2654,down,train
0.723,0.1231,0.6967,-0.0739,-0.8564,-0.1388,131.3357,321.7902,6.141,down,train
0.8112,0.1976,0.5242,0.1207,-0.595,-0.0395,127.6561,312.6906,11.2065,down,train
0.8847,0.1233,0.4642,-0.0781,0.3112,0.0405,128.7809,312.829,8.9313,down,train
0.738,0.0668,0.6736,-0.2021,1.5091,0.3533,132.9748,326.5869,2.5239,down,train
0.5196,0.0401,0.8515,0.005,1.3631,-0.0465,132.5282,341.3679,5.3384,down,train
0.1312,0.0214,0.9229,-0.4624,2.0781,0.2339,136.1831,3.7733,0.573,down,train
-0.1135,-0.0593,0.9899,0.1659,0.8048,-0.0062,136.657,16.6907,0.2101,down,train
-0.1459,-0.033,0.9502,-0.1252,-0.6274,-0.0657,136.6035,11.3817,358.555,down,train
0.1118,-0.0137,0.9953,0.6665,-1.361,-0.4659,131.9499,354.4942,3.9028,down,train
0.377,0.1156,0.9273,-0.1062,-1.8122,-0.1119,127.1815,335.9086,5.1646,down,train
0.6747,0.0301,0.7092,0.0105,-1.46,0.1627,128.3879,320.369,4.5528,down,train
0.8166,0.1195,0.5391,0.0062,-0.256,-0.1812,124.6026,313.5363,8.8331,down,train
0.7996,0.1192,0.5651,-0.0677,0.3238,0.0995,124.8734,315.1119,7.4044,down,train
0.6228,0.0673,0.7681,-0.2192,1.7025,-0.0301,128.3221,336.4362,3.2528,down,train
0.3523,0.0546,0.9675,-0.1019,1.7267,0.1508,128.3607,356.498,359.0825,down,train
0.1181,-0.001,0.9702,-0.6767,1.9796,0.1358,127.7013,21.1206,350.2222,down,train
-0.1308,0.0078,0.9996,0.0777,0.3843,0.2088,128.99,28.7444,351.6341,down,train
-0.1511,0.0211,0.9697,0.0594,-0.3851,0.0292,130.2941,25.0346,353.5374,down,train
0.1532,0.0641,0.9175,0.1397,-1.1554,-0.0832,130.7259,6.294,358.5541,down,train
0.3695,0.1233,0.8927,0.3911,-1.9046,-0.2072,128.4524,344.1444,4.8994,down,train
0.6371,0.1008,0.7401,0.0472,-1.5063,-0.1226,122.8964,325.0149,6.5315,down,train
0.7853,0.0476,0.6321,0.275,-0.7037,0.1984,125.4358,315.1401,6.3401,down,train
0.818,0.2088,0.4694,-0.0879,-0.0418,0.0958,124.3216,313.0463,7.7622,down,train
0.9307,0.1624,0.4299,-0.142,-0.4211,-0.0478,122.6148,305.7762,7.6835,down,train
0.9174,0.168,0.3592,0.0458,-0.1939,0.0075,120.0913,301.6983,9.6859,down,train
0.9259,0.1634,0.3146,-0.047,-0.1691,0.0478,119.3883,298.2289,9.3576,down,train
0.9409,0.1719,0.2727,0.0275,-0.181,-0.0908,111.2417,293.9258,16.1265,down,train
0.9215,0.1862,0.2391,-0.0458,-0.2495,0.1468,107.1853,289.9135,17.7257,down,train
0.9994,0.161,0.1959,-0.0064,0.5187,-0.1434,104.9123,292.5946,18.3925,down,train
0.9855,0.1595,0.3519,0.1695,0.6061,-0.0178,109.4993,298.1573,15.6285,down,train
0.8747,0.1816,0.4482,-0.0061,0.2511,-0.0175,109.0112,300.3673,16.1876,down,train
