acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
-0.019825,-0.159149,0.981551,0.002231,-0.17891,-0.108547,left
-0.054839,-0.156587,0.980209,0.063069,-0.137808,-0.147333,left
-0.098576,-0.185013,0.974536,0.171616,-0.103056,-0.009954,left
-0.100162,-0.172508,0.94245,0.068818,-0.091214,-0.006436,left
-0.091439,-0.15616,0.961421,-0.11361,-0.026429,-0.016046,left
-0.086437,-0.113277,0.974963,-0.603661,-0.043162,0.008752,left
-0.090768,0.041541,0.981795,-1.009619,-0.135834,-0.000343,left
-0.111874,0.224053,0.936106,-1.040253,-0.102884,0.015102,left
-0.138653,0.398818,0.845277,-1.092424,0.105801,0.043505,left
-0.119865,0.585661,0.694363,-0.88863,0.098336,-0.0393,left
-0.11529,-0.222162,0.962336,0.026086,-0.026944,0.004548,left
-0.117547,-0.224663,0.955199,0.041703,0.00532,-0.021624,left
-0.121878,-0.216855,0.957273,-0.016389,-0.023855,-0.029346,left
-0.075579,-0.195505,0.959591,-0.412909,0.037412,-0.063584,left
-0.099796,-0.107543,0.974292,-0.876187,0.012271,-0.031749,left
-0.100711,0.064843,0.976549,-1.063163,-0.009611,0.050284,left
-0.138958,0.244732,0.984601,-0.862115,-0.050369,0.022911,left
-0.147864,0.328363,0.854061,-1.342126,0.100567,0.06101,left
-0.161894,0.600301,0.76982,-0.80265,0.028145,0.077399,left
-0.146095,0.68137,0.65148,-0.615502,0.171788,0.038013,left
-0.10675,-0.124745,0.957273,-0.605806,-0.001287,-0.048396,left
-0.097173,-0.009211,0.976427,-0.654631,-0.166039,-0.023168,left
-0.144692,0.174338,0.996374,-0.563931,-0.253048,0.026343,left
-0.176412,0.222894,0.938119,-0.913771,-0.177966,0.006092,left
-0.197945,0.385093,0.840946,-0.925613,-0.00695,-0.003604,left
-0.191296,0.561078,0.726083,-0.827534,0.061524,-0.086838,left
-0.156526,0.711138,0.646234,-0.563159,0.08658,-0.063841,left
-0.121695,0.806176,0.555466,-0.251761,0.018964,-0.039214,left
-0.114558,0.839238,0.497028,0.076884,-0.036039,-0.011756,left
-0.135176,0.843386,0.517097,0.443457,-0.036039,-0.011498,left
-0.094977,-0.000732,0.97844,-0.858683,0.029175,0.064013,left
-0.107848,0.144753,0.986797,-0.896867,0.008409,0.060409,left
-0.108397,0.289933,0.904447,-0.96723,0.064957,0.093874,left
-0.116998,0.460428,0.810995,-0.965256,0.040072,0.101425,left
-0.122671,0.653005,0.71187,-0.738894,0.018792,0.075511,left
-0.138653,0.706929,0.619089,-0.517938,0.039043,0.036211,left
-0.127063,0.792085,0.510692,-0.444744,0.043762,0.042818,left
-0.133773,0.867542,0.462563,-0.183115,-0.032865,-0.020079,left
-0.14213,0.880596,0.436699,-0.025828,0.046336,-0.027115,left
-0.125843,0.865712,0.40504,0.121762,-0.033379,-0.005749,left
-0.116327,-0.217709,0.970083,0.01596,-0.019736,0.003604,left
-0.110959,-0.225273,0.963861,-0.036383,0.006178,0.000429,left
-0.101565,-0.218624,0.96014,-0.05629,-0.033723,-0.02437,left
-0.101077,-0.23607,0.969412,-0.678829,0.048138,-0.009267,left
-0.096014,-0.101809,0.950319,-0.660895,-0.015875,0.004376,left
-0.104249,0.036356,0.957151,-0.794069,-0.071478,0.032865,left
-0.123891,0.17324,0.979294,-0.856795,-0.08126,0.074482,left
-0.130235,0.343857,0.922869,-0.984477,0.0127,0.072336,left
-0.137555,0.488244,0.808982,-0.931619,0.031577,0.056204,left
-0.142618,0.63989,0.675026,-0.932134,0.04196,0.096963,left
-0.05124,-0.17385,0.966545,-0.040072,-0.018964,-0.018706,left
-0.061793,-0.176412,0.982161,-0.363913,0.03561,-0.021624,left
-0.045567,-0.102114,0.982954,-0.762492,-0.021624,-0.020251,left
-0.056486,0.005856,0.995032,-0.682518,-0.071993,0.019478,left
-0.075701,0.160308,0.976,-0.755627,-0.105973,0.080059,left
-0.072102,0.30012,0.919392,-0.835772,-0.009267,0.10091,left
-0.089792,0.444019,0.827038,-0.756399,-0.057577,0.112838,left
-0.096868,0.590785,0.734196,-0.636783,-0.032693,0.068303,left
-0.127673,0.678869,0.664778,-0.510902,-0.032521,0.047452,left
-0.139629,0.748226,0.565775,-0.415226,-0.099194,0.038785,left
-0.107299,-0.11529,0.968985,0.060838,-0.02437,-0.01004,left
-0.090951,-0.135603,0.970205,-0.003947,-0.031492,-0.006693,left
-0.105774,-0.119926,0.974841,0.023168,0.005578,-0.010297,left
-0.083509,-0.127002,1.016992,-0.892319,0.128455,-0.089412,left
-0.063501,0.018483,0.967094,-0.610869,-0.03501,0.008838,left
-0.060756,0.198616,0.941962,-0.935738,-0.019564,0.121504,left
-0.083814,0.354349,0.906643,-0.991085,0.093617,0.135749,left
-0.076433,0.501176,0.8174,-0.848986,0.058693,0.113524,left
-0.081069,0.613599,0.706136,-0.723706,0.004548,0.111465,left
-0.090158,0.729499,0.587003,-0.699508,-0.037841,0.127168,left
-0.087535,-0.210206,0.956785,-0.026086,0.013386,-0.010469,left
-0.065636,-0.212158,0.977769,-0.328131,0.053973,-0.060066,left
-0.056913,-0.168848,0.971242,-0.784973,0.053287,-0.015875,left
-0.073688,-0.008601,0.979111,-0.553806,-0.172732,-0.021881,left
-0.095038,0.098576,0.993141,-0.69865,-0.117643,0.025485,left
-0.106079,0.249673,0.924455,-0.848729,-0.036554,0.063755,left
-0.094306,0.394731,0.853878,-0.739409,-0.013129,0.084006,left
-0.124196,0.507947,0.789401,-0.829765,-0.00901,0.070792,left
-0.140239,0.649162,0.675087,-0.922095,-0.00103,0.076283,left
-0.153903,0.741394,0.552782,-0.670076,-0.045907,0.073795,left
-0.071309,-0.265411,0.953796,-0.385021,0.055089,-0.024455,left
-0.043737,-0.183549,0.957944,-0.905019,0.001802,-0.04934,left
-0.071797,-0.021777,0.953613,-0.821099,-0.049254,0.024026,left
-0.077104,0.149511,0.96075,-1.057157,-0.068732,0.035181,left
-0.090646,0.330559,0.911645,-1.126147,0.009611,0.12365,left
-0.105225,0.50203,0.799954,-1.1222,0.101854,0.11524,left
-0.09638,0.676612,0.647698,-0.986365,0.129742,0.126395,left
-0.090158,0.832772,0.512339,-0.706116,0.12897,0.062383,left
-0.076372,0.899506,0.412055,-0.16295,-0.025142,0.038528,left
-0.088877,0.903227,0.354349,0.025313,0.020165,-0.007465,left
-0.025437,-0.036783,0.949404,-0.916946,-0.049597,-0.034066,left
-0.054046,0.185623,0.95892,-1.303426,-0.02231,0.047709,left
-0.086498,0.411872,0.875228,-1.125546,0.121333,0.080917,left
-0.081008,0.560285,0.755851,-1.031415,0.098937,0.077399,left
-0.090158,0.697962,0.593652,-0.912227,0.063241,0.105115,left
-0.107726,0.830332,0.481107,-0.692215,0.049597,-0.032006,left
-0.09699,0.891454,0.348859,-0.624769,-0.008752,0.13592,left
-0.105408,0.979965,0.280112,-0.353015,0.002145,0.027973,left
-0.102663,0.972157,0.181902,0.071135,0.033122,-0.02497,left
-0.105042,0.947452,0.128588,0.295009,-0.04994,-0.006092,left
-0.095465,-0.19032,0.960994,-0.304018,0.043676,-0.046765,left
-0.074603,-0.125477,0.97783,-0.736148,-0.056462,-0.098594,left
-0.096502,-0.000976,0.983076,-0.809514,-0.066587,-0.074482,left
-0.107787,0.197335,0.965081,-0.800505,-0.064099,0.030805,left
-0.122732,0.331474,0.89487,-0.853706,0.054574,0.054145,left
-0.115168,0.471103,0.782752,-0.940114,0.046422,0.059637,left
-0.120658,0.655384,0.686128,-0.87756,0.081175,0.068389,left
-0.122244,0.769332,0.585539,-0.654202,0.064099,0.060495,left
-0.119743,0.811483,0.473421,-0.583238,0.021624,0.048911,left
-0.130723,0.871873,0.381677,-0.474433,0.028488,-0.005663,left
-0.102297,-0.216001,0.945744,0.013558,-0.036383,-0.019135,left
-0.112972,-0.207156,0.968863,0.066244,-0.038099,-0.005063,left
-0.099552,-0.232532,0.939827,0.077485,-0.070277,-0.035868,left
-0.091927,-0.254736,0.957273,-0.41248,0.087181,-0.044963,left
-0.089609,-0.229726,0.977464,-0.974352,0.097135,-0.048567,left
-0.101931,-0.05551,0.98576,-1.206806,-0.047795,-0.040587,left
-0.110044,0.177449,0.956419,-1.185955,-0.015617,0.099108,left
-0.105591,0.378505,0.866993,-1.029269,0.01596,0.127168,left
-0.112545,0.537471,0.756339,-1.011078,-0.037756,0.117386,left
-0.133773,0.68137,0.637511,-0.995375,-0.006178,0.008066,left
-0.051423,-0.260348,0.956602,-0.097049,-0.000686,-0.009353,left
-0.055449,-0.248026,0.971303,-0.500862,0.006092,-0.073194,left
-0.049959,-0.144082,0.97905,-0.993573,-0.119273,-0.134204,left
-0.075335,0.066917,0.970327,-0.963626,-0.16029,-0.016304,left
-0.104005,0.249124,0.946781,-1.071573,0.014158,0.071049,left
-0.115961,0.406992,0.842532,-1.031329,0.073366,0.162006,left
-0.125477,0.592432,0.707234,-0.995461,0.062726,0.140725,left
-0.141642,0.757071,0.580293,-0.737092,0.004205,0.134547,left
-0.148413,0.840397,0.481595,-0.730142,0.082376,0.042389,left
-0.141825,0.88084,0.39894,-0.761719,0.134547,-0.00429,left
-0.098637,-0.290665,0.947391,-0.077227,-0.078,-0.020165,left
-0.097722,-0.290116,0.9577,-0.451523,0.006693,-0.02866,left
-0.096685,-0.213317,0.973377,-0.791495,0.032607,-0.045736,left
-0.093269,-0.07564,0.968802,-0.898068,-0.120303,-0.030376,left
-0.11346,0.116571,0.978806,-0.8356,-0.085722,0.041188,left
-0.13908,0.255712,0.931287,-1.01717,-0.134976,0.051914,left
-0.152683,0.450851,0.825452,-1.176259,-0.158316,0.032178,left
-0.19337,0.609085,0.676002,-1.409829,0.000515,-0.033894,left
-0.207034,0.786839,0.472323,-1.012279,0.008152,0.059293,left
-0.186904,0.888099,0.304634,-0.874729,-0.027201,0.0133,left
-0.07137,-0.194712,0.97417,0.01596,-0.021795,-0.008924,left
-0.072163,-0.192272,0.961909,-0.046079,-0.039043,-0.024455,left
-0.068503,-0.197457,0.981246,-0.614987,-0.013729,-0.10297,left
-0.077531,-0.081313,0.997045,-0.909052,-0.15025,-0.105029,left
-0.096014,0.098576,0.978562,-0.935309,-0.132917,0.038785,left
-0.11041,0.273951,0.920368,-0.857224,-0.037584,0.179425,left
-0.130174,0.433527,0.847168,-0.72465,-0.248415,0.149135,left
-0.172386,0.522892,0.751703,-0.836115,-0.024284,0.063584,left
-0.214476,0.670451,0.63501,-0.788406,0.080145,0.011584,left
-0.199104,0.781715,0.508008,-0.827448,0.091042,-0.014158,left
-0.064172,-0.227835,0.961604,0.033637,-0.014502,-0.004977,left
-0.068381,-0.23485,0.961909,0.010983,-0.028488,-0.014931,left
-0.07076,-0.223565,0.966911,-0.060066,0.020251,-0.010812,left
-0.052948,-0.212768,0.97295,-0.271068,0.08598,-0.032521,left
-0.037576,-0.198372,0.96807,-1.15412,0.159861,-0.021023,left
-0.006771,0.044164,0.956053,-0.918834,-0.223187,-0.003432,left
-0.051606,0.211853,0.977708,-1.039309,-0.006007,0.157029,left
-0.064416,0.391742,0.903349,-0.893778,-0.023855,0.062554,left
-0.061732,0.511485,0.777872,-1.079724,0.008323,0.104514,left
-0.086864,0.675209,0.641842,-1.099203,0.036554,0.11524,left
-0.033855,-0.133834,0.964288,0.041445,-0.021366,-0.007122,left
-0.047031,-0.141581,0.978684,0.031663,-0.003518,-0.010726,left
-0.030866,-0.136701,0.965569,0.061782,-0.028832,-0.015445,left
-0.043554,-0.151341,0.978989,-0.020337,-0.009439,-0.000515,left
-0.02928,-0.181841,0.997716,-0.759831,0.091815,-0.039815,left
-0.025376,-0.068991,0.991616,-0.880564,-0.081175,0.060581,left
-0.019459,0.189771,0.966484,-1.098431,-0.182771,0.066673,left
-0.068442,0.363316,0.865712,-0.878933,0.00369,0.141841,left
-0.058865,0.528626,0.748714,-0.954444,-0.034323,0.168527,left
-0.079971,0.695034,0.628178,-0.911111,-0.119102,0.141498,left
-0.042151,-0.11224,0.959469,0.018277,-0.045478,-0.038528,left
-0.045933,-0.137372,0.990579,0.024713,0.002317,-0.00369,left
-0.045323,-0.127612,0.973804,0.009353,-0.007036,-0.015102,left
-0.040382,-0.138531,0.994117,-0.363398,0.062039,-0.052429,left
