acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
-0.051301,-0.077653,0.991982,0.074396,0.012271,-0.006178,punch
-0.042639,-0.094489,0.952759,-0.002917,-0.021624,-0.004205,punch
-0.055388,-0.096746,0.96136,0.084435,-0.005921,0.011241,punch
0.040992,-0.104188,1.000827,-0.067703,-0.006779,0.009267,punch
0.347212,-0.104371,0.953125,0.554063,0.008581,0.068132,punch
0.170007,-0.097844,1.006561,-0.213662,-0.260943,-0.169814,punch
-0.089304,-0.19398,1.05286,0.222415,-0.131973,0.100996,punch
-0.272365,-0.129198,0.716018,-0.111722,-0.765666,0.021624,punch
-0.510082,0.012688,0.857477,0.521971,0.275959,-0.031492,punch
-0.204533,-0.01403,0.954833,-0.42312,-0.089241,0.014673,punch
0.16165,-0.029463,0.990213,0.029518,-0.089755,-0.016561,punch
0.069967,-0.049959,1.037854,0.058779,-0.014416,-0.074825,punch
0.05551,-0.091561,0.978013,0.190494,0.244038,0.099023,punch
0.045689,-0.071614,0.866261,-0.239062,-0.005406,-0.003947,punch
-0.356728,0.100589,0.955504,-0.810373,-0.26386,0.081003,punch
-0.346114,0.011712,0.941047,0.61207,0.031406,-0.21821,punch
-0.13237,-0.009577,0.944402,-0.374982,-0.000343,-0.0133,punch
-0.129137,0.014091,1.01992,0.175649,0.007894,-0.011584,punch
-0.085217,-0.009028,0.979904,0.194956,-0.05998,-0.004205,punch
-0.070699,-0.032452,0.937692,0.068046,-0.03561,-0.004033,punch
-0.070028,-0.026901,0.977708,0.047967,0.012099,-0.004548,punch
-0.055937,-0.02745,0.971486,0.00695,0.00163,0.001116,punch
-0.038491,-0.023241,0.988078,0.010554,-0.014502,0.034152,punch
0.026962,-0.010614,1.001193,0.09765,0.048396,0.002145,punch
0.288347,-0.034404,0.97783,0.034323,0.029346,-0.172646,punch
0.160003,-0.070333,0.988749,0.194613,-0.137293,-0.055432,punch
-0.027694,-0.146339,0.956297,-0.048653,-0.125366,0.187405,punch
-0.340624,-0.073871,0.874069,-0.427153,-0.416856,-0.029346,punch
-0.48617,0.109434,1.144177,0.523859,0.355246,0.052086,punch
-0.2928,-0.007015,0.95099,-0.201134,0.021967,-0.08658,punch
-0.040199,-0.015555,0.985455,0.042132,-0.012013,-0.000686,punch
-0.046116,-0.014518,0.989298,0.07431,-0.016475,0.007208,punch
-0.049349,-0.020679,0.961665,-0.036211,-0.022568,-0.00429,punch
0.135847,-0.01586,1.005097,0.008323,0.108976,-0.046594,punch
0.233752,0.014152,0.988505,0.242065,-0.231854,-0.050369,punch
0.070516,-0.047763,0.993934,-0.03132,0.051313,-0.171531,punch
-0.050508,-0.077043,0.981429,0.35147,0.465767,0.154541,punch
-0.054168,-0.076982,0.941596,-0.035353,0.044706,-0.166296,punch
-0.223199,0.003965,0.888343,0.129742,-0.512961,0.093359,punch
-0.360022,-0.044774,1.136552,-0.243266,0.285741,-0.066158,punch
-0.088816,-0.064294,0.961055,-0.007723,-0.015703,0.005663,punch
-0.091988,-0.053436,0.975329,-0.155227,0.022053,0.03664,punch
-0.088206,-0.01403,0.990213,0.043848,-0.023168,0.004719,punch
-0.055571,-0.025437,0.979843,0.105029,-0.051571,0.013815,punch
0.281698,-0.038064,1.033889,-0.393774,0.466453,-0.401926,punch
0.364475,0.02196,0.996008,0.383906,0.072079,0.027115,punch
-0.089914,0.018117,0.990823,0.224045,0.067617,-0.124422,punch
-0.368257,-0.026474,0.852536,0.183372,-0.121161,0.111551,punch
-0.367098,0.071431,0.961177,0.438308,-0.094389,0.120131,punch
-0.256993,-0.019581,0.964715,0.338256,0.097221,-0.084693,punch
-0.072041,-0.026047,0.995764,0.050369,-0.008495,0.042218,punch
-0.043005,-0.020191,0.972096,-0.038185,-0.043934,0.046336,punch
-0.063501,-0.008845,0.969961,0.006264,-0.025228,0.012785,punch
0.096014,-0.01342,0.992592,0.09396,0.185174,-0.060323,punch
0.335622,-0.001952,0.95343,0.150336,-0.165953,0.023597,punch
0.269681,-0.032574,1.059875,0.300672,-0.100825,-0.088554,punch
-0.113582,-0.107238,0.953613,0.509186,-0.180798,-0.054231,punch
-0.394975,-0.086742,0.998997,-0.154369,-0.336025,-0.034752,punch
-0.285846,-0.152256,0.900238,-0.149993,-0.10297,-0.065386,punch
-0.222833,-0.107299,1.009123,-0.617476,-0.092158,-0.037584,punch
-0.042395,-0.007259,0.975329,-0.00429,-0.034409,0.008581,punch
-0.043615,-0.007076,0.98454,0.004462,-0.032521,0.00738,punch
