acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
-0.65148,-0.112423,0.953308,-0.372837,0.91626,0.46714,punch
-0.837896,-0.222528,1.06994,-0.084693,0.916002,0.424493,punch
-0.821914,-0.203374,1.054263,-0.05466,0.913943,0.510559,punch
-0.830393,-0.22143,1.046638,-0.054145,0.912055,0.474004,punch
-0.66368,-0.144875,0.979233,-0.292863,0.905791,0.559984,punch
-0.897737,-0.219295,1.151192,-0.057663,0.898669,0.326758,punch
-0.844606,-0.223321,1.076406,-0.110006,0.89558,0.391371,punch
-0.630618,-0.109129,0.938668,-0.451179,0.892663,0.367002,punch
-0.801052,-0.20801,1.033828,-0.152224,0.882537,0.502922,punch
-0.796538,-0.214537,1.04371,-0.078085,0.880907,0.523258,punch
0.934093,0.281332,0.996313,0.328645,0.877217,0.56745,punch
-0.87718,-0.230519,1.12423,-0.208342,0.873098,0.292091,punch
-0.887184,-0.232288,1.138931,-0.143385,0.872755,0.285999,punch
-0.844362,-0.226432,1.097207,-0.212547,0.86589,0.291662,punch
-0.868152,-0.229177,1.095255,-0.250045,0.865118,0.27716,punch
-0.674904,-0.141337,0.983137,-0.208171,0.864603,0.633264,punch
-0.851804,-0.224602,1.086044,-0.192039,0.857824,0.347008,punch
-0.907863,-0.236924,1.161623,-0.009439,0.848386,0.339371,punch
0.903044,0.23729,1.003145,0.331906,0.839462,0.671621,punch
-0.805932,-0.004575,0.960384,-0.148791,0.838689,0.408104,punch
-0.789706,-0.198738,1.02419,-0.179168,0.836716,0.458044,punch
0.955748,0.328241,0.980026,0.208514,0.835686,0.359107,punch
0.99186,0.38064,0.938363,0.103914,0.834227,0.138666,punch
-0.9394,-0.103883,0.982954,-0.088983,0.831052,0.592763,punch
-0.945012,-0.078385,0.973865,-0.091557,0.830366,0.568565,punch
-0.796416,-0.007625,0.948428,-0.160461,0.820155,0.411107,punch
-0.588589,-0.088084,0.936106,-0.465166,0.814406,0.288745,punch
-0.933178,-0.084058,0.961604,-0.094132,0.810373,0.52712,punch
-0.80947,-0.015494,0.964898,-0.076283,0.80265,0.395576,punch
-1.08763,-0.243634,1.181387,-0.3912,0.793812,0.305048,punch
-0.682651,-0.163236,0.980758,-0.174191,0.788577,0.627,punch
-1.095316,-0.260043,1.196088,-0.409477,0.788062,0.294236,punch
-1.062925,-0.223016,1.164612,-0.327272,0.783686,0.321695,punch
-0.778665,-0.187026,1.010709,-0.258368,0.782485,0.391285,punch
-0.534177,0.078751,0.914634,-0.134633,0.782056,0.335338,punch
-0.915915,-0.238388,1.168089,0.076798,0.779396,0.346322,punch
-0.780678,-0.008479,0.935252,-0.134376,0.777508,0.423034,punch
-1.024556,-0.20862,1.182973,-0.096706,0.77562,0.342289,punch
-1.04188,-0.205448,1.196515,-0.165696,0.775191,0.246527,punch
0.846924,0.215147,1.005097,0.317748,0.773732,0.732201,punch
-0.562603,0.075457,0.920063,-0.057577,0.772445,0.375068,punch
-1.0675,-0.203008,1.150155,-0.230309,0.765752,0.369576,punch
-1.100501,-0.280783,1.207434,-0.445774,0.761719,0.307279,punch
-0.600728,0.075091,0.919026,0.036983,0.757,0.424064,punch
-0.961848,-0.112911,0.988017,-0.082033,0.756485,0.613614,punch
-0.505385,0.083326,0.903105,-0.21821,0.754426,0.269524,punch
-0.917989,-0.076189,0.947147,-0.103914,0.752366,0.46182,punch
-1.057069,-0.184342,1.130635,-0.163293,0.742927,0.374381,punch
-0.898103,-0.066917,0.93452,-0.119702,0.740525,0.41943,punch
-1.008818,-0.197335,1.162477,-0.064185,0.738036,0.356962,punch
-0.978257,-0.17507,1.039623,-0.180026,0.736921,0.15557,punch
1.02419,0.410591,0.919026,-0.011842,0.731172,-0.132316,punch
-0.993812,-0.180926,1.053714,-0.140296,0.729198,0.207913,punch
-0.558089,-0.066856,0.915671,-0.478638,0.729198,0.259741,punch
-1.054812,-0.233325,1.209325,-0.280078,0.727739,0.179597,punch
-0.922625,-0.209291,1.123925,-0.155742,0.720274,0.381074,punch
-0.953064,-0.120231,0.989725,-0.086666,0.717442,0.62374,punch
-0.920124,-0.168421,1.092693,-0.102884,0.717271,0.339886,punch
-0.93025,-0.172508,1.107516,-0.11258,0.716155,0.368203,punch
-0.753167,-0.158295,0.996679,-0.30419,0.711436,0.30582,punch
-1.00711,-0.171837,1.065304,-0.114554,0.711007,0.223702,punch
-1.042673,-0.167872,1.094584,-0.068218,0.709891,0.428784,punch
0.819657,0.173606,1.00162,0.303246,0.709548,0.775792,punch
-1.102026,-0.284931,1.214815,-0.502579,0.705,0.274586,punch
-0.959408,-0.171654,1.027057,-0.251075,0.704743,0.151795,punch
-0.61122,0.076433,0.913414,0.091042,0.701654,0.412137,punch
-0.920734,-0.239791,1.171932,0.133518,0.701568,0.339286,punch
-0.911096,-0.151829,1.073051,-0.085036,0.699937,0.288144,punch
-0.926895,-0.169397,1.009794,-0.292863,0.695647,0.137293,punch
