acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction
0.4958,-0.007,0.4126,-0.1697,0.2733,0.0827,125.4931,312.3503,358.57,punching
-0.7561,-0.0256,0.8154,-0.031,-0.6708,0.1489,120.1983,42.7084,357.791,punching
-0.081,-0.1773,0.7577,1.3193,-2.2649,0.203,108.3237,31.0922,1.9367,punching
1.5468,-0.1814,1.1232,-0.4702,0.2326,0.5262,118.7209,25.7203,1.7372,punching
1.0311,-0.0118,0.8278,-0.2928,0.9345,-0.6223,114.8373,28.2667,357.1839,punching
-0.685,0.1049,0.955,0.1052,0.3933,0.1621,113.644,32.1378,357.7741,punching
-1.0298,-0.2103,0.9611,-0.0897,0.1001,-0.0685,108.3415,34.0924,352.784,punching
-0.6119,-0.1838,1.0301,0.9989,-1.4469,-0.5697,108.8569,28.0364,350.4455,punching
0.0565,0.077,0.4667,-0.2604,-1.7163,0.3985,106.9394,25.1113,345.6257,punching
1.6365,0.2855,1.1505,0.5756,0.9651,-0.538,109.2266,18.5563,353.8573,punching
0.7841,-0.1725,0.928,0.3798,0.7748,-0.9943,101.4975,17.562,352.1419,punching
-0.4764,0.0177,0.861,0.4372,0.8695,-0.3538,94.8514,29.6071,348.0216,punching
-0.8624,-0.1648,0.868,-0.4861,-0.0007,-0.0025,98.9677,32.2921,343.4629,punching
-0.3964,0.1316,1.0321,0.7616,-1.0813,-0.8843,100.2323,22.9828,350.1738,punching
0.2917,0.2047,0.6114,0.1134,-0.8309,0.7595,108.5093,24.6626,336.0694,punching
1.3764,0.195,1.0757,0.4317,0.5912,-0.0707,109.3402,16.7357,348.8877,punching
0.6696,0.3848,0.6984,-0.7757,1.1835,-0.8245,104.5903,15.2205,351.6972,punching
-0.8481,0.0811,1.0031,-0.0209,-0.1229,-0.571,100.0949,18.8325,356.1007,punching
-0.6112,-0.075,0.9926,0.2252,0.2549,-0.1693,100.0364,23.08,355.9788,punching
-0.3379,0.0663,1.006,0.352,-0.3947,-0.5322,103.0578,21.4697,355.2007,punching
0.0626,0.0794,0.7896,-2.3529,-0.1433,0.6205,104.8884,15.5667,353.9085,punching
1.0801,-0.4383,1.2952,1.2017,0.0017,-0.4589,111.5566,10.0447,354.1415,punching
0.5271,0.0114,0.9375,0.9995,0.5561,-0.8871,107.3434,13.9053,357.733,punching
-0.487,0.0879,0.9643,-0.137,0.6349,-0.0667,108.7028,17.0867,2.1239,punching
-0.9767,-0.1404,0.7555,-0.6914,0.5219,-0.0053,110.121,23.5281,356.0055,punching
-0.5655,0.0299,0.9965,0.1196,-1.1009,-0.2335,110.3171,17.4633,2.3394,punching
0.104,-0.1286,0.5032,-2.0402,-1.4839,1.8032,132.6001,17.7776,346.8431,punching
0.6585,-0.1334,0.9363,0.3819,0.4718,-0.1314,129.5994,20.9695,346.0329,punching
0.4063,0.1029,0.9992,0.7448,0.5482,-0.8651,124.6948,21.3379,348.9733,punching
-1.1959,0.068,0.9553,-0.2076,0.1477,-0.1049,119.2275,26.2024,349.0372,punching
-0.685,-0.2907,0.947,0.0432,-0.7402,0.3102,127.442,23.8904,346.2011,punching
-0.3453,-0.1623,0.8805,0.3511,-1.2139,0.8099,129.0996,18.4526,351.5561,punching
1.6351,-0.5254,1.2343,0.98,-1.2524,-0.3269,131.3126,6.3613,349.6692,punching
0.4766,0.0808,0.6341,0.538,1.0732,-0.7481,121.1559,9.2694,0.2664,punching
-0.5428,0.2151,0.946,-0.3328,0.831,-0.4311,117.9057,17.4241,357.045,punching
-1.075,-0.254,0.8797,-0.0759,-0.4133,-0.0783,118.204,20.1114,351.605,punching
-0.4384,-0.1064,0.9124,-0.1617,-0.957,-1.0233,117.7756,11.2455,346.2609,punching
0.6539,0.2882,0.4201,-1.6452,-0.2334,1.3905,132.1529,356.0624,356.4391,punching
