acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
-0.10736,-0.349347,0.923418,0.039386,-0.009353,-0.015188,rest
-0.105957,-0.364841,0.924333,0.036983,0.00163,-0.002317,rest
-0.110349,-0.367037,0.920185,0.004891,-0.008495,0.031492,rest
-0.103639,-0.34892,0.927261,0.017247,-0.081175,0.012271,rest
-0.104859,-0.338855,0.935862,-0.04462,-0.152653,-0.011155,rest
-0.163175,-0.317139,0.962519,-0.158745,-0.098765,-0.056891,rest
-0.140605,-0.285846,0.892613,-0.04033,-0.043934,-0.078,rest
-0.159271,-0.298717,0.925431,0.05998,0.004634,-0.058607,rest
-0.146644,-0.302865,0.927322,0.030376,0.015789,-0.073623,rest
-0.151768,-0.332816,0.926163,0.009353,0.002574,-0.039987,rest
-0.088938,-0.24217,0.965813,0.039386,-0.036898,-0.013386,rest
-0.100589,-0.236253,0.950258,0.020508,-0.033294,0.001287,rest
-0.09577,-0.232532,0.957029,0.030719,-0.044878,0.004548,rest
-0.104859,-0.225822,0.952881,-0.009525,-0.005663,0.004548,rest
-0.091927,-0.213744,0.955016,0.062211,-0.000257,0.001116,rest
-0.091622,-0.2196,0.954345,0.099881,-0.019822,0.008409,rest
-0.096624,-0.243939,0.954284,0.036211,-0.020594,-0.002145,rest
-0.096258,-0.239303,0.954894,0.046336,-0.021452,-0.010554,rest
-0.09577,-0.245037,0.952881,0.032779,-0.028917,-0.001459,rest
-0.093269,-0.248209,0.952942,0.025313,-0.036039,-0.004805,rest
0.009089,-0.314516,0.922564,0.093788,-0.062468,0.015703,rest
-0.040138,-0.387228,1.002718,-0.215636,0.135749,0.139181,rest
0.009638,-0.230275,0.966545,0.061782,0.071993,0.000772,rest
0.027145,-0.242231,0.880718,0.219755,-0.038871,-0.049511,rest
0.001281,-0.310612,0.897127,0.172474,-0.125194,-0.167669,rest
-0.017995,-0.347273,0.966545,-0.045907,-0.110435,-0.174191,rest
0.008052,-0.292678,0.965325,-0.047538,-0.068732,-0.053201,rest
0.00366,-0.2501,0.964227,0.043676,0.009696,0.021366,rest
0.008052,-0.234118,0.951051,0.035439,0.016475,0.037841,rest
0.004941,-0.228323,0.935191,-0.052944,-0.021624,0.050713,rest
-0.000732,-0.224846,0.962275,-0.034667,0.002059,0.041874,rest
0.01342,-0.20557,0.959957,-0.032006,-0.022139,0.025399,rest
0.007076,-0.180255,0.966484,0.022482,-0.013129,0.007809,rest
0.006588,-0.182329,0.96197,0.035267,-0.037069,-0.003432,rest
0.002501,-0.184464,0.965569,0.014502,-0.034924,-0.025399,rest
0.004209,-0.188917,0.967582,0.026,-0.032607,-0.02231,rest
0.00305,-0.192577,0.973194,0.019736,-0.021366,-0.018535,rest
0.001891,-0.194651,0.972523,0.016647,-0.016818,-0.008409,rest
0.002806,-0.191479,0.966545,0.015703,-0.011069,-0.007294,rest
0.011407,-0.188673,0.961787,0.026343,-0.017333,-0.006178,rest
-0.019947,-0.336842,0.939644,0.020337,-0.017076,-0.007551,rest
-0.011834,-0.339282,0.929518,0.026772,-0.020766,-0.013558,rest
-0.013359,-0.347761,0.924821,0.032092,-0.04136,0.000429,rest
-0.020008,-0.342759,0.93696,0.030891,-0.023769,-0.00635,rest
-0.018239,-0.344467,0.930982,0.026601,-0.015617,-0.0133,rest
-0.016348,-0.349835,0.926956,0.026429,-0.024799,-0.024627,rest
-0.016348,-0.349347,0.924577,0.055175,-0.029861,-0.028231,rest
-0.018544,-0.35502,0.932995,-0.001459,-0.024455,0.000858,rest
-0.016775,-0.352641,0.926834,0.014759,-0.02703,-0.001888,rest
-0.019825,-0.356972,0.926285,0.038957,-0.027973,0.014073,rest
-0.031964,-0.3416,0.924333,0.029261,-0.027115,-0.007122,rest
-0.032086,-0.344772,0.923174,0.03029,-0.02394,-0.008152,rest
-0.033001,-0.347029,0.922747,0.04196,-0.020079,-0.000772,rest
-0.032696,-0.347639,0.920795,0.019736,-0.024455,-0.006779,rest
-0.03416,-0.348066,0.920978,0.029175,-0.019736,-0.004719,rest
-0.033977,-0.347944,0.922015,0.034752,-0.018449,-0.003003,rest
-0.033367,-0.350933,0.920063,0.02703,-0.025142,-0.003003,rest
-0.033367,-0.351421,0.919026,0.02437,-0.031835,-0.006865,rest
-0.03477,-0.348798,0.922198,0.038099,-0.021967,-0.005578,rest
-0.034404,-0.351848,0.919514,0.041874,-0.021881,-0.003518,rest
-0.001891,-0.223992,0.955138,0.074739,-0.05732,0.010898,rest
-0.016043,-0.233081,0.967643,0.06959,-0.024884,-0.019908,rest
-0.014945,-0.253638,0.958371,0.074396,-0.016647,-0.016218,rest
-0.018117,-0.277306,0.955321,0.042389,-0.009696,-0.015875,rest
-0.016592,-0.273219,0.951966,0.026772,-0.00738,-0.040759,rest
-0.016775,-0.277855,0.950319,0.026601,-0.004977,-0.052944,rest
-0.011773,-0.277245,0.942816,0.064614,-0.034924,-0.014244,rest
-0.018605,-0.285785,0.949587,0.034667,-0.008066,-0.033637,rest
-0.017507,-0.288713,0.947818,0.02068,0.003776,-0.022396,rest
-0.014091,-0.292983,0.946354,0.062897,-0.021624,-0.004891,rest
-0.014518,-0.342393,0.922564,0.065386,-0.043848,-0.006607,rest
-0.01464,-0.353068,0.92842,0.037841,-0.00738,0.009353,rest
-0.009089,-0.348066,0.924638,0.021881,-0.037069,-0.01536,rest
-0.010919,-0.350262,0.926529,0.029432,-0.039643,-0.013558,rest
-0.013969,-0.35258,0.927261,0.014845,-0.033637,-0.020422,rest
-0.018239,-0.351787,0.930189,0.029947,-0.020766,-0.002917,rest
-0.018117,-0.352824,0.926529,0.020079,-0.019822,-0.003089,rest
-0.018788,-0.352214,0.929518,0.025228,-0.015875,-0.000429,rest
-0.016775,-0.349408,0.928054,0.036983,-0.025228,-0.003518,rest
-0.019825,-0.353922,0.928603,0.035267,-0.03295,-0.000858,rest
-0.027267,-0.36478,0.923784,0.021023,-0.028231,-0.005578,rest
-0.027816,-0.365817,0.923967,0.021624,-0.013129,-0.00429,rest
-0.025986,-0.366,0.925248,0.064871,-0.015445,0.005492,rest
-0.026596,-0.367769,0.926895,0.045221,0.007637,0.028059,rest
-0.019886,-0.368867,0.921344,0.022739,-0.006521,0.010554,rest
-0.015128,-0.369965,0.919209,0.019049,-0.018792,-0.012528,rest
-0.016714,-0.370453,0.922259,0.02703,-0.03235,-0.015703,rest
-0.017812,-0.372222,0.919148,0.062726,-0.034581,-0.020508,rest
-0.018849,-0.373808,0.919819,0.031749,-0.030033,-0.012185,rest
-0.019764,-0.370331,0.922564,0.026601,-0.017333,-0.002574,rest
-0.028975,-0.373625,0.914268,0.025914,-0.019822,-0.003776,rest
-0.028365,-0.374113,0.912255,0.028403,-0.024541,-0.005148,rest
-0.029829,-0.37515,0.914024,0.014502,-0.019993,-0.006178,rest
-0.027938,-0.372832,0.91439,0.037241,-0.022825,-0.006521,rest
-0.028609,-0.375699,0.912377,0.027888,-0.020851,-0.006264,rest
-0.028731,-0.377773,0.912438,0.020337,-0.022911,-0.003518,rest
-0.02928,-0.376248,0.913597,0.026086,-0.02334,-0.004977,rest
-0.030561,-0.377285,0.91439,0.028488,-0.016904,-0.004634,rest
-0.030561,-0.378322,0.914451,0.022568,-0.018792,-0.004462,rest
-0.02867,-0.378627,0.913048,0.024112,-0.02437,-0.005663,rest
-0.040199,-0.372771,0.917135,0.021023,-0.064185,0.000944,rest
-0.044408,-0.369599,0.91927,-0.006264,-0.046937,-0.002746,rest
-0.050386,-0.361181,0.926895,0.022482,-0.017333,-0.01004,rest
-0.047824,-0.362889,0.922686,0.023254,-0.015188,-0.008581,rest
-0.047885,-0.363255,0.923052,0.019822,-0.019736,-0.00532,rest
-0.048007,-0.361791,0.92537,0.024713,-0.018878,-0.003861,rest
-0.047946,-0.360937,0.925187,0.026343,-0.015703,-0.005749,rest
-0.04453,-0.361486,0.923052,0.025914,-0.021023,-0.008495,rest
-0.044225,-0.362828,0.92049,0.001373,-0.024026,-0.00532,rest
-0.046116,-0.363438,0.92354,0.020251,-0.029175,-0.004548,rest
-0.052887,-0.354654,0.924943,0.023426,-0.043848,-0.010211,rest
-0.051057,-0.355508,0.923296,0.032521,-0.024026,-0.01167,rest
-0.052887,-0.357033,0.923906,0.03132,-0.000429,-0.00532,rest
-0.053619,-0.358192,0.924394,0.018535,-0.021366,-0.002403,rest
-0.052948,-0.357887,0.923723,0.043591,-0.019736,-0.003261,rest
-0.050386,-0.357765,0.905728,0.026515,-0.02763,-0.008066,rest
-0.053009,-0.357216,0.92537,0.026944,-0.024026,-0.006779,rest
-0.051972,-0.357704,0.923723,0.024284,-0.023511,-0.011069,rest
