acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
0.098576,0.127734,0.9394,1.837668,0.057835,0.026343,rest
0.147376,-0.066307,0.967887,1.455221,-0.305735,-0.116699,rest
0.065209,-0.275964,0.923906,-0.480697,0.256223,0.02437,rest
0.127551,-0.213439,0.954833,-0.155484,-0.092158,0.013815,rest
0.132431,-0.196115,0.962824,0.039987,-0.093703,0.011927,rest
0.138287,-0.201849,0.951478,-0.096706,-0.017934,0.042475,rest
0.126392,-0.177022,0.953064,-0.039129,-0.009439,-0.011327,rest
0.134078,-0.155794,0.952759,-0.029346,0.070277,0.038013,rest
0.149389,-0.151768,0.959469,-0.019393,-0.000858,-0.006521,rest
0.147803,-0.148657,0.957151,-0.031063,-0.001888,-0.011498,rest
-0.024156,-0.016104,0.982161,0.03235,-0.026257,-0.006693,rest
-0.025315,-0.014213,0.981185,0.031663,-0.029518,-0.005234,rest
-0.025193,-0.015433,0.979477,0.019736,-0.030119,-0.008752,rest
-0.027755,-0.014152,0.981002,0.006693,-0.024799,-0.003861,rest
-0.027084,-0.013298,0.981185,0.018964,-0.019993,-0.00532,rest
-0.026291,-0.011651,0.981002,0.046508,-0.026772,-0.004548,rest
-0.025803,-0.012017,0.981368,0.026686,-0.025914,-0.005578,rest
-0.025437,-0.013542,0.981002,0.000772,-0.025828,-0.006436,rest
-0.0244,-0.011224,0.981795,0.031234,-0.022739,-0.006865,rest
-0.024339,-0.010126,0.9821,0.028832,-0.024713,-0.007723,rest
-0.025437,-0.03538,0.98515,0.019564,-0.02437,-0.008323,rest
-0.029768,-0.034892,0.984723,0.023683,-0.022482,-0.001545,rest
-0.025254,-0.037637,0.984357,0.020766,-0.029346,-0.019393,rest
-0.029829,-0.042517,0.983564,0.040244,-0.025399,-0.003261,rest
-0.029341,-0.043737,0.983503,0.060323,-0.03295,-0.002746,rest
-0.032574,-0.049593,0.983686,0.030376,-0.025571,-0.002746,rest
-0.03233,-0.047031,0.982893,0.046937,-0.034838,0.002145,rest
