acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction
0.048246738,0.001213963,0.985753715,0.007253654,0.057273716,-0.034316309,180.1503411,357.2323689,0.085367073,rest
0.058429465,-0.001929807,0.996963799,-0.086056009,-0.158040971,0.006236178,179.7842393,357.0403665,0.160396054,rest
-0.018512674,0.021122955,0.977468073,0.037338771,-0.253946841,0.001349256,179.370726,354.9080312,0.312837178,rest
0.039518684,0.026221598,0.999644458,0.166842192,-0.276548833,-0.101886973,178.6482559,353.4212792,1.506886367,rest
0.125344545,0.07016705,0.980148733,0.061162516,-0.172701731,-0.05515578,177.5628023,349.6824597,3.056499622,rest
0.120495617,0.084491819,0.954073131,-0.028706422,-0.016557358,0.025274964,177.8966073,349.6028649,3.328731966,rest
0.153468266,0.080121547,0.986728549,-0.002186362,0.015787877,-0.013382409,178.0706678,349.6084751,3.164314798,rest
0.136497051,0.067496337,0.968938649,-0.027366238,0.010832921,0.008384906,177.8314882,350.3185432,3.433894681,rest
0.139891297,0.068224713,0.980148733,-0.008988261,-0.003428809,0.005972248,177.9980219,350.2735349,3.436965918,rest
0.143770441,0.064340033,0.976736963,0.016683552,-0.006637495,0.00321918,178.1892809,350.2297696,3.562670854,rest
0.138921499,0.064582825,0.980148733,0.014829524,0.015302584,0.0074728,178.3225789,350.5704133,3.817528904,rest
0.135284826,0.068224713,0.977468073,0.01129587,0.002437137,0.007016517,178.5471555,350.7684871,3.884042567,rest
0.132133037,0.067981921,0.983073056,0.006259967,0.018597446,0.013475107,178.7222132,351.0489995,4.043882654,rest
0.141345963,0.069195889,0.980148733,0.015779078,0.004161837,-0.000670946,178.8422743,351.1208104,4.123492777,rest
0.135527268,0.066767953,0.985022664,0.003315035,-0.006565366,0.009597411,178.9540162,351.0253662,4.171845821,rest
0.135527268,0.065796785,0.982829392,0.005263299,0.001292232,0.0033602,178.9975245,350.9374207,4.198633396,rest
0.132375464,0.071138225,0.992333591,0.00276446,0.048395619,0.01132841,179.3762448,351.5106426,4.030915113,rest
0.116616488,0.063611656,0.989165485,-0.005434342,0.101532251,-0.021819843,179.4642313,352.3407667,3.974125932,rest
