acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
-0.149694,-0.035929,0.971425,-0.017333,0.012871,-0.012785,right
-0.141581,-0.015433,0.962397,0.027373,-0.018964,0.00635,right
-0.135786,0.005612,0.963434,0.195128,-0.060924,0.017333,right
-0.141947,-0.024461,0.975451,0.203709,-0.002145,0.018878,right
-0.147986,-0.055327,0.983808,0.448777,0.03767,0.006693,right
-0.142435,-0.158112,0.975512,0.587529,0.08392,0.029947,right
-0.129137,-0.292861,0.935069,0.703541,0.134547,0.020337,right
-0.108397,-0.438407,0.857416,0.806254,0.174191,0.021795,right
-0.075152,-0.588955,0.76616,0.771673,0.133689,0.026515,right
-0.056852,-0.712602,0.672586,0.7443,0.10932,0.025914,right
-0.072956,-0.133773,0.977586,0.158402,-0.018449,0.006865,right
-0.076433,-0.147803,0.961238,0.649997,-0.091214,0.00738,right
-0.083143,-0.247233,0.939034,1.017428,-0.122277,0.034152,right
-0.090219,-0.405467,0.901458,0.696677,-0.007809,0.068218,right
-0.084851,-0.51118,0.833809,0.899184,-0.043076,0.048825,right
-0.083021,-0.646478,0.719007,0.652915,-0.013815,0.062211,right
-0.0915,-0.752252,0.654408,0.807541,0.096963,0.093445,right
-0.065331,-0.855525,0.530456,0.591905,0.082462,0.072765,right
-0.035929,-0.896761,0.416203,0.773647,-0.056204,-0.003261,right
-0.039345,-0.93818,0.288774,0.894036,-0.081775,-0.094046,right
-0.070394,-0.141703,0.967521,0.093788,-0.036211,0.021366,right
-0.068381,-0.132553,0.970449,0.489707,-0.070019,0.007465,right
-0.083326,-0.226188,0.953125,0.880392,-0.020337,0.027201,right
-0.092049,-0.388631,0.904508,0.786775,0.12159,0.027888,right
-0.058072,-0.535763,0.821975,0.792868,0.115584,0.005578,right
-0.032818,-0.673013,0.726144,0.844009,0.019993,-0.00429,right
-0.029524,-0.795501,0.60329,0.807112,-0.065214,-0.012871,right
-0.036417,-0.862235,0.498675,0.888801,0.019049,0.00266,right
-0.025315,-0.927627,0.363926,0.894379,0.034752,0.002317,right
-0.014335,-0.984784,0.211548,0.699594,-0.04136,0.041188,right
-0.022997,-0.185013,0.968863,-0.042904,-0.036726,-0.013386,right
-0.025193,-0.174582,0.973072,-0.022396,-0.032865,-0.013644,right
-0.024034,-0.163175,0.973011,0.076112,-0.039901,-0.012442,right
-0.027816,-0.141947,0.976305,0.929903,-0.078,-0.004205,right
-0.034038,-0.293288,0.940742,1.173942,0.021109,-0.026171,right
-0.03782,-0.485072,0.854122,1.32668,0.118673,-0.050284,right
-0.015494,-0.680394,0.71431,1.064193,0.197874,0.024799,right
0.003904,-0.822341,0.543449,1.003613,0.22619,0.015102,right
0.02745,-0.936594,0.355447,1.004557,0.206798,0.00695,right
0.045018,-0.977586,0.148169,1.076378,0.067274,-0.121762,right
0.009699,-0.178608,0.955077,0.295952,-0.07534,-0.014244,right
-0.007442,-0.219051,0.948977,0.83191,-0.099023,-0.042561,right
-0.033001,-0.394182,0.897493,1.118939,-0.009267,-0.078429,right
-0.03538,-0.585783,0.784338,1.148199,-0.034323,-0.063498,right
-0.036478,-0.741577,0.648552,1.013481,0.038356,-0.008667,right
-0.027999,-0.868823,0.484889,0.709376,0.083406,0.033637,right
-0.014274,-0.901092,0.365268,0.978557,0.050198,0.017505,right
-0.003538,-0.978928,0.220332,0.874042,0.080574,0.044534,right
0.005917,-0.981551,0.053253,0.905534,-0.010554,-0.111465,right
-0.011651,-1.023946,-0.08174,0.355503,0.027287,-0.044191,right
-0.006954,-0.088938,0.978623,0.347523,-0.084264,-0.010726,right
-0.020374,-0.140056,0.973072,1.222338,-0.110521,0.009439,right
-0.05002,-0.335866,0.891027,1.315783,-0.02969,-0.010726,right
-0.031537,-0.534299,0.81496,1.13876,0.053544,-0.012528,right
-0.028792,-0.694363,0.704977,1.140133,0.084521,-0.003776,right
-0.022265,-0.84912,0.557357,0.625027,0.11524,0.043591,right
-0.011224,-0.876448,0.429806,0.942517,0.09559,0.049426,right
-0.00854,-0.929152,0.286639,1.034332,0.186032,-0.032779,right
0.002135,-0.997716,0.117547,0.736749,0.217438,-0.028317,right
0.007869,-1.012722,-0.047519,0.462592,0.000257,-0.155484,right
-0.029219,-0.145607,0.979599,0.327444,-0.083491,-0.048996,right
-0.051484,-0.207522,0.974536,0.751594,-0.050455,-0.069762,right
-0.06466,-0.365756,0.930616,1.24379,0.013386,0.015188,right
-0.053436,-0.55449,0.833199,1.027553,0.114983,0.077313,right
-0.025254,-0.684176,0.694729,1.012365,0.095934,0.050884,right
-0.005795,-0.797453,0.548146,0.830452,0.060152,-0.011927,right
0.007625,-0.89121,0.41541,0.678485,-0.047709,-0.081089,right
-0.014152,-0.945744,0.301462,0.697878,-0.028403,-0.122534,right
-0.027877,-1.001498,0.171837,0.787462,0.085379,0.033551,right
-0.020252,-1.025166,0.040138,0.712723,0.085722,0.001201,right
-0.008418,-0.147498,0.979416,0.052257,-0.008152,0.001716,right
-0.004148,-0.129808,0.979294,0.532354,-0.073023,0.002059,right
-0.013847,-0.198189,0.974231,0.962682,-0.025056,0.017247,right
-0.008418,-0.349774,0.906582,1.014253,-0.018277,-0.004977,right
-0.00854,-0.518256,0.82167,0.874385,0.03827,-0.019993,right
-0.006832,-0.670878,0.704611,0.984134,0.090785,-0.033122,right
0.007625,-0.783606,0.597983,1.001811,0.125795,-0.029861,right
0.017873,-0.886696,0.451095,0.996405,0.162435,0.039386,right
0.038674,-0.972218,0.26901,0.692043,0.129141,0.048739,right
0.057767,-0.973743,0.133102,0.805138,0.035267,-0.071993,right
