acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction
0.049216524,-0.682186842,0.684788108,-0.013149582,-0.007027555,-0.002254559,125.627888,357.08066,315.0993063,right
0.049216524,-0.682186842,0.684788108,-0.013149582,-0.007027555,-0.002254559,125.627888,357.08066,315.0993063,right
0.049216524,-0.682186842,0.684788108,-0.013149582,-0.007027555,-0.002254559,125.627888,357.08066,315.0993063,right
0.049216524,-0.682186842,0.684788108,-0.013149582,-0.007027555,-0.002254559,125.627888,357.08066,315.0993063,right
0.049216524,-0.682186842,0.684788108,-0.013149582,-0.007027555,-0.002254559,125.627888,357.08066,315.0993063,right
0.049216524,-0.682186842,0.684788108,-0.013149582,-0.007027555,-0.002254559,125.627888,357.08066,315.0993063,right
0.049216524,-0.682186842,0.684788108,-0.013149582,-0.007027555,-0.002254559,125.627888,357.08066,315.0993063,right
0.049216524,-0.682186842,0.684788108,-0.013149582,-0.007027555,-0.002254559,125.627888,357.08066,315.0993063,right
0.049216524,-0.682186842,0.684788108,-0.013149582,-0.007027555,-0.002254559,125.627888,357.08066,315.0993063,right
0.049216524,-0.682186842,0.684788108,-0.013149582,-0.007027555,-0.002254559,125.627888,357.08066,315.0993063,right
0.104979083,-0.135086507,0.975762188,0.211959302,-0.002368115,0.849977374,178.83207,354.0048339,352.1592732,right
0.110797785,-0.04173208,0.964308441,0.164006382,-0.138285637,0.698177397,187.3362602,352.9380544,354.6262385,right
0.076370463,0.065796785,0.965770602,0.589779496,-0.083307765,0.61968118,194.5777907,353.0716375,2.8900763,right
0.136739492,0.145432755,0.986484826,0.504869223,0.121637531,0.700010002,203.4855595,354.203866,8.999709967,right
0.126556769,0.213414669,0.970888257,0.253498137,0.176920831,0.635258257,209.2958102,354.2579791,12.00322248,right
0.173106387,0.218756109,0.937989175,0.203712612,-0.061927475,0.621513784,215.1866571,350.0871023,13.00850082,right
0.144012868,0.199332699,0.969426036,-0.142632559,-0.0556718,0.092517614,215.363436,349.1296165,11.24245125,right
0.149346679,0.187678665,0.959190845,-0.021521417,0.007359151,-0.038237851,214.1889577,349.2506679,10.77699178,right
0.132133037,0.152716532,0.979173958,-0.188504577,0.148656189,-0.128601745,211.9739546,350.4220983,9.390901368,right
0.133830145,0.13426429,0.999644458,-0.187592894,0.198464006,-0.078131273,209.5732251,351.990355,7.833363813,right
0.106191315,0.086676955,0.968694925,-0.302130133,0.000849087,-0.190835923,150.6917862,337.6058024,329.6565499,right
0.118556052,-0.033047948,0.919468224,0.040484101,0.083717421,0.086544678,150.8962411,340.3618999,333.4405021,right
0.160499185,0.184522361,1.032056093,0.082633808,0.012857055,1.029415131,165.7683496,346.4425552,337.8984897,right
0.17092438,0.079150379,0.959921837,0.390204459,-0.124282196,0.813474298,176.1204166,349.2213024,342.0807306,right
0.18910782,0.184522361,0.957972288,0.292160571,0.001861479,0.399002254,182.0295037,350.5775338,347.83788,right
0.219171107,0.177481368,0.960652947,0.189229786,-0.047618601,0.271942288,185.8529617,350.3794472,349.6781737,right
0.223050252,0.232838079,0.938232839,0.151967019,0.01102446,0.426185757,191.6665592,351.7867018,352.4577687,right
0.212140173,0.215114221,0.966257989,0.176707059,0.073638149,0.259419531,194.724872,352.7708202,352.331949,right
0.208503485,0.217542142,0.947980762,-0.093177766,0.032499284,0.038917515,195.6356914,352.9101548,353.0779939,right
0.186198458,0.158300757,0.96357733,-0.038529091,0.092709914,0.012988243,195.4320971,354.071459,353.147322,right
0.108373329,-0.068749383,0.981123507,0.090058044,-0.197145641,0.616523147,291.1449381,347.6189178,341.5199465,right
