acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
0.060756,-0.132736,0.934276,0.119016,-0.034924,-0.072508,shake
0.000671,-0.150426,0.992043,-0.276388,0.123221,0.526776,shake
0.026901,-0.175436,1.028338,-1.39404,0.234685,0.732802,shake
-0.002257,-0.042578,0.952393,1.135328,-0.676855,-0.583238,shake
-0.06283,-0.052704,0.935008,0.29415,-0.208514,-0.082805,shake
-0.085278,-0.048556,0.96441,0.025742,0.00635,-0.319893,shake
-0.091561,-0.046787,1.132221,-0.657205,0.329932,0.641502,shake
-0.150792,-0.065819,0.854976,0.240778,1.449558,-0.431358,shake
-0.083936,-0.174277,0.547719,-0.37052,-1.634217,0.733488,shake
-0.327021,0.361547,1.563369,1.715906,1.861094,-0.693416,shake
-0.200385,-0.490989,0.851194,-0.037498,-0.286256,0.150422,shake
-0.155489,-0.370148,0.801174,-1.200628,-0.180369,-0.323068,shake
0.118767,-0.223077,0.630557,0.201735,-0.003432,0.23889,shake
-0.041724,-0.265106,1.210118,0.42784,0.956332,-0.166468,shake
0.182268,-0.583404,-0.303353,-1.736929,-1.696256,-0.244639,shake
-0.396012,0.075091,1.236836,-0.240949,0.29355,-0.21555,shake
-0.253882,-0.328912,0.097905,0.535271,0.163979,-0.068647,shake
-0.332511,-0.14762,0.573217,-0.428011,-1.598263,0.765838,shake
-0.367769,0.098088,1.355359,1.371987,1.629412,-0.613872,shake
-0.033672,-0.471957,-0.609695,-1.300938,-1.7105,0.373952,shake
-0.239669,-0.070089,1.535797,0.511503,1.176259,-0.461991,shake
-0.08357,-0.709918,-0.047519,-0.808742,-0.947237,0.447747,shake
-0.363987,-0.156343,0.897432,-1.104437,-1.020259,0.825217,shake
-0.383995,0.150731,1.360605,0.878075,2.033482,-1.308575,shake
-0.190015,-0.745481,-0.379664,-1.31072,-1.714362,0.83826,shake
-0.544242,0.201422,1.274534,0.393516,0.736749,-0.258454,shake
-0.428098,-0.117242,0.75335,1.451274,1.590798,-1.034933,shake
-0.272426,-0.544791,-0.049837,-1.687761,-2.020611,1.270991,shake
-0.432246,0.424926,1.521584,0.795699,1.625636,-0.829594,shake
-0.332633,-0.424621,0.172142,0.654373,0.492882,-0.435133,shake
-0.014701,-0.116327,0.885903,0.593106,2.811334,-2.395936,shake
0.203862,-0.02928,1.090253,-0.33285,0.226705,0.284626,shake
0.226981,-0.110898,1.37067,0.170758,1.416093,0.619793,shake
-0.051728,0.231129,0.476654,0.187748,0.052,-0.164923,shake
0.037149,0.016836,0.618845,0.818782,-2.680562,-1.013395,shake
0.150914,-0.504836,1.411967,-0.285312,1.84582,0.484301,shake
0.026901,0.143167,0.081435,0.280335,-0.461219,0.102198,shake
-0.139263,0.003233,0.793671,0.93222,-0.705429,-0.395747,shake
0.124074,-0.503128,1.553792,-0.445688,1.537425,0.188263,shake
0.038125,0.04209,0.226371,-0.004033,-0.250302,0.044963,shake
0.149267,-0.008784,0.576267,0.094904,0.086151,-0.140811,shake
0.113704,-0.030012,0.671183,0.585813,-0.685522,-0.069333,shake
0.081923,-0.203679,1.62809,-0.568737,1.189731,0.031663,shake
0.206729,-0.054778,0.600057,0.031921,0.25425,0.003261,shake
0.203374,0.097356,0.360266,0.59242,-1.034074,-0.088554,shake
0.130235,-0.23546,1.522194,-0.366744,0.647766,0.426982,shake
0.228933,-0.161833,0.772016,-0.071907,0.714353,0.160976,shake
0.214415,0.066368,0.250893,0.377213,-1.241215,-0.208428,shake
0.179157,-0.18483,1.376587,0.223359,0.157372,0.300929,shake
0.291763,-0.208803,0.976305,-0.432044,0.9396,0.178052,shake
0.119377,-0.171349,1.146739,0.089498,1.619544,0.076798,shake
0.254004,-0.033855,0.117181,-0.088211,-0.834399,-0.204653,shake
0.150304,-0.164639,0.918782,0.787204,-0.804623,0.123306,shake
0.02745,-0.174155,1.522194,-0.634294,1.277512,-0.376011,shake
0.269498,-0.131394,0.448411,-0.380302,0.141326,0.061181,shake
0.2135,-0.013115,0.295606,0.759488,-1.559392,-0.022482,shake
-0.06527,-0.186233,1.528477,-0.356705,0.483272,-0.090013,shake
0.181353,-0.197091,1.017602,-0.013043,1.13713,0.173676,shake
0.301645,-0.081923,0.205021,-0.138237,-1.41206,-0.058693,shake
0.045018,-0.183549,1.27429,0.07963,-0.230481,0.064442,shake
0.170495,-0.158783,1.069452,0.360823,1.748599,0.196243,shake
0.26169,-0.052155,0.163114,0.034495,-1.148114,0.052772,shake
0.062037,-0.112789,1.073966,0.613614,-0.447146,-0.102627,shake
0.113948,-0.239364,1.534516,-0.496229,1.328654,-0.112666,shake
0.266509,-0.143899,0.456402,-0.135148,0.393431,0.061954,shake
0.170251,0.020984,0.235033,0.545654,-1.937721,-0.341774,shake
0.080581,-0.267668,1.513532,0.089412,0.317319,0.05895,shake
0.257664,-0.293959,1.185474,0.190323,1.932486,0.393516,shake
0.296399,-0.051545,0.194102,-0.444572,-0.947322,0.033036,shake
0.210999,-0.058255,0.704306,0.622967,-1.205948,0.13326,shake
0.233935,-0.026413,0.285236,0.621766,-1.60959,0.036983,shake
0.027999,-0.15372,1.524512,-0.285226,0.411879,-0.186375,shake
0.248514,-0.166896,1.017907,0.15763,1.365637,0.037927,shake
0.320189,-0.064721,0.209718,0.255022,-1.22577,0.007723,shake
