acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
0.410652,-0.007198,0.887123,0.020251,-0.013129,-0.016389,up
0.411872,-0.007015,0.88023,0.008838,-0.0127,-0.017247,up
0.412604,-0.008418,0.882731,0.010554,-0.01064,-0.009525,up
0.414251,-0.004819,0.886452,0.01862,-0.009611,-0.0133,up
0.414434,-0.00366,0.883707,0.027888,-0.019822,-0.010125,up
0.417179,-0.002745,0.884439,0.02334,-0.014502,-0.016818,up
0.417972,-0.004087,0.877973,0.022997,-0.001287,-0.009954,up
0.418277,-0.001159,0.883585,0.023597,-0.01965,-0.011756,up
0.419924,-0.003111,0.880291,0.023168,-0.029604,-0.010554,up
0.418094,-0.001525,0.884012,0.023511,-0.019049,-0.007894,up
0.423889,-0.002257,0.883463,0.027115,-0.022911,-0.007122,up
0.423218,-0.00183,0.881938,0.025056,-0.02334,-0.004634,up
0.424926,-0.002318,0.879132,0.027201,-0.025228,-0.011155,up
0.424255,-0.001769,0.87962,0.028231,-0.024112,-0.012013,up
0.426451,-0.001098,0.879132,0.029346,-0.017848,-0.012013,up
0.426451,-0.003172,0.875594,0.029175,-0.004977,-0.019393,up
0.43005,-0.003965,0.878522,0.026171,-0.018363,-0.00738,up
0.431209,-0.002562,0.874313,0.02497,-0.011327,-0.008409,up
0.432124,-0.004148,0.873947,0.019993,-0.011584,-0.008581,up
0.433771,-0.003233,0.875716,0.030204,0.003003,-0.012271,up
0.695217,-0.007747,0.682712,0.030548,-0.017762,-0.003261,up
0.695949,-0.007381,0.681919,0.043676,-0.012185,-0.009696,up
0.695705,-0.008784,0.678747,0.030376,-0.021109,-0.001116,up
0.696742,-0.009943,0.677161,0.028317,-0.03398,-0.002917,up
0.697474,-0.009638,0.680028,0.028832,-0.031921,-0.007036,up
0.695156,-0.009089,0.681309,0.031577,-0.028746,-0.007036,up
0.694912,-0.011163,0.680882,0.033808,-0.027544,-0.005406,up
0.694729,-0.009821,0.679479,0.032521,-0.029947,-0.003776,up
0.692533,-0.011285,0.683505,0.026343,-0.020937,-0.003604,up
0.69418,-0.013176,0.680333,0.025056,-0.042132,-0.003432,up
0.690825,-0.010919,0.687836,0.026515,0.008667,-0.003347,up
0.692594,-0.013481,0.683322,0.019135,0.018535,-0.012271,up
0.700341,-0.010309,0.679052,0.019307,0.003261,-0.020594,up
0.703208,-0.013054,0.670451,0.024026,-0.009096,-0.012271,up
0.706624,-0.012139,0.670756,0.02866,0.016818,-0.005749,up
0.711626,-0.01586,0.662582,0.04299,-0.003261,-0.004548,up
0.711382,-0.01403,0.664717,0.036297,-0.006607,-0.003261,up
0.715652,-0.017629,0.660813,0.023168,-0.019993,-0.00369,up
0.714737,-0.016287,0.659105,0.02128,-0.018535,-0.00635,up
0.717665,-0.016226,0.65941,0.02334,-0.020422,-0.001201,up
0.737612,-0.013542,0.635803,0.033036,-0.024884,-0.00532,up
0.736209,-0.013603,0.635254,0.022997,-0.021538,-0.003776,up
0.737124,-0.012566,0.634034,0.024455,-0.029089,-0.00798,up
0.736575,-0.011529,0.638487,0.029003,-0.028317,-0.010554,up
0.736697,-0.012383,0.636352,0.000601,-0.043676,-0.009353,up
0.735538,-0.012261,0.634461,0.029003,-0.030204,-0.005148,up
0.736514,-0.012078,0.636535,0.025142,-0.019564,-0.005578,up
0.735599,-0.012566,0.635925,0.028917,-0.024884,-0.003175,up
0.737124,-0.012139,0.634766,0.024884,-0.021624,-0.00532,up
0.735599,-0.012566,0.635864,0.025485,-0.022825,-0.007809,up
0.495808,-0.008784,0.841434,0.004033,-0.003432,-0.017162,up
0.497211,-0.005002,0.840824,-0.00695,0.003861,-0.030462,up
0.502518,-0.006893,0.83753,0.014587,-0.019822,-0.015274,up
0.500932,-0.005673,0.835944,0.021023,-0.002231,-0.009353,up
0.500688,-0.005307,0.837835,0.023855,-0.020079,-0.007036,up
0.499346,-0.004453,0.834114,0.028574,-0.026086,-0.003776,up
0.49898,-0.002806,0.840031,0.065043,-0.04136,-0.004548,up
0.49288,-0.003843,0.844667,0.029003,0.010812,0.001802,up
0.497882,-0.002928,0.836798,0.012957,-0.026343,-0.019478,up
0.497394,-0.002806,0.835639,0.000858,-0.050798,-0.019993,up
0.49654,0.007137,0.840641,0.020079,-0.022653,-0.001201,up
0.499163,0.008601,0.838567,0.024198,-0.01965,-0.006779,up
0.496845,0.006222,0.842837,0.006007,-0.041445,-0.007465,up
0.50264,0.017263,0.831796,0.008152,-0.062125,-0.041188,up
0.497394,0.015067,0.845887,0.050627,-0.042132,-0.029346,up
