acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
-0.114009,-0.297863,0.940925,0.017419,-0.021967,-0.004205,up
-0.123464,-0.244427,0.962946,0.065986,0.189035,0.167326,up
-0.089853,-0.248819,0.993751,-0.137808,0.631806,0.281966,up
0.020496,-0.197457,0.980331,-0.178738,0.706545,0.193669,up
0.15311,-0.155916,0.94977,-0.098079,0.590189,0.169385,up
0.265655,-0.138348,0.949221,-0.049511,0.924841,0.191181,up
0.451034,-0.131028,0.880474,0.051657,1.292786,0.263002,up
0.625799,-0.062342,0.64904,0.090184,0.46877,0.227649,up
0.728828,-0.045018,0.594933,0.106917,0.151623,0.06899,up
0.755851,-0.050691,0.589321,0.057835,-0.015274,0.006693,up
-0.167384,-0.264862,0.945134,0.004119,-0.024884,-0.008409,up
-0.203557,-0.279868,0.961177,0.102198,0.361853,0.069333,up
-0.113155,-0.291763,0.967094,-0.105887,0.592591,0.188349,up
0.002013,-0.262971,0.980575,0.0653,0.813805,0.392916,up
0.153659,-0.245342,0.935496,0.018277,0.918062,0.268923,up
0.314516,-0.212402,0.877912,0.032092,0.975553,0.321781,up
0.48861,-0.175802,0.790011,0.148877,0.966887,0.17625,up
0.665998,-0.162321,0.63806,0.085722,0.423463,0.016904,up
0.732305,-0.167262,0.580293,0.067102,0.134719,0.012528,up
0.764696,-0.179706,0.556564,0.024713,-0.078429,-0.049597,up
-0.114009,-0.297863,0.940925,0.017419,-0.021967,-0.004205,up
-0.133773,-0.292556,0.962458,0.148448,0.240177,0.097736,up
-0.114253,-0.339404,0.975024,-0.037241,0.719244,0.336711,up
0.032879,-0.318176,0.996984,0.016218,1.055956,0.410335,up
0.2257,-0.292861,0.911279,0.078085,0.970319,0.335424,up
0.412238,-0.24461,0.803004,0.114297,0.723706,0.316718,up
0.560285,-0.226493,0.748226,0.136349,0.892148,0.280335,up
0.697352,-0.201788,0.608353,0.123564,0.573714,0.081689,up
0.785009,-0.189466,0.495503,0.015274,-0.05835,-0.031835,up
0.787815,-0.20984,0.523441,0.000172,-0.095934,-0.08066,up
-0.163785,-0.144509,0.966362,0.061439,-0.019478,0.011155,up
-0.177632,-0.150914,0.978684,0.164408,0.165953,0.096363,up
-0.155367,-0.207339,1.030351,0.016218,0.915573,0.327787,up
0.027877,-0.197579,0.981734,0.008581,1.239757,0.413081,up
0.259982,-0.15921,0.881145,0.077571,1.112761,0.2999,up
