acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction
0.171894163,-0.10396836,0.951392472,-0.192611992,-0.060290392,0.010645438,169.3956719,349.8307695,353.58021,up
0.105221525,-0.123990111,0.99842602,0.051543746,0.067784004,-0.03409588,169.4223369,349.7259424,353.8449409,up
0.105948865,-0.097214036,1.000619292,0.462350607,0.907418311,0.085939139,170.054266,357.686759,357.3460132,up
-0.020487361,-0.040284727,0.992820978,-0.051997907,0.696975231,0.099378176,170.4807157,2.668397387,357.5538062,up
-0.213512838,-0.025328718,0.962115169,0.044518802,0.968504846,0.067613184,170.6393674,11.92669362,358.8303162,up
-0.374202818,-0.007960455,0.892417848,-0.069713004,0.537844837,0.032793868,170.6026756,20.07885566,358.233526,up
-0.500335872,-0.023157686,0.837586105,-0.027868733,0.855494738,0.03340473,170.20494,29.74819225,357.5811487,up
-0.645228386,-0.00410084,0.724998116,-0.074294493,0.551894724,0.022714589,170.4463189,35.38478879,357.0400722,up
-0.634367585,-0.053552151,0.698922515,-0.01899197,-0.078399792,-0.022111464,169.8689357,36.68036981,355.2475697,up
-0.464051038,-0.093595646,0.818821371,0.094323538,-0.588472247,-0.079532795,169.2427986,31.1813845,355.0233782,up
-0.206601441,0.022094125,0.937014401,0.019730944,1.231880784,-0.265589118,176.655398,13.46477709,1.296097657,up
-0.457633287,0.020151785,0.872434676,-0.101831242,1.011052966,-0.112567365,175.2472452,26.80832686,1.244617028,up
-0.532918155,-0.015920909,0.774955988,0.071043625,0.656751037,-0.00566595,175.0987432,33.96897937,0.700205381,up
-0.722981572,0.019423407,0.658956289,-0.039217554,0.477156729,0.034651157,176.2246453,41.14770967,0.118380759,up
-0.791848779,0.002427926,0.592914462,-0.0761749,0.336657703,-0.046593919,175.6985158,46.81022678,359.2510434,up
-0.803696871,-0.003618388,0.553922951,-0.027192991,-0.078592159,0.034964889,175.9003479,46.07857008,358.8695327,up
-0.812336087,0.007769363,0.572200179,-0.047656976,-0.155561179,-0.02337274,176.2502312,44.4384231,358.8099595,up
-0.782222152,0.003641889,0.579998493,-0.015954759,-0.08194565,0.001509878,175.0153056,43.58947498,357.9547464,up
-0.770867765,-0.000241226,0.597057283,0.001669053,-0.04043426,0.011569493,175.0325997,43.82631521,358.2526936,up
-0.762722194,0.001456755,0.615821958,-0.001131892,-0.01652284,0.003338772,175.1537262,44.54412369,358.3655526,up
0.154922932,0.047587346,0.985510051,-0.085021511,0.059771441,0.039947279,193.0608603,44.31751851,12.67499036,up
0.141588405,0.039332394,0.99501425,-0.020206589,-0.042593405,0.008476555,192.276659,40.64777398,11.51642209,up
0.030063294,0.021365747,0.972350419,-0.136881858,1.20082283,0.057040341,195.1233315,51.44908977,12.5897146,up
-0.207095116,0.032534208,0.960409284,-0.039448842,0.808341861,-0.042836126,195.8793925,59.26914411,12.96157229,up
-0.348531932,0.005098644,0.906552255,0.015834458,0.73412174,-0.022677572,196.4708732,65.94004644,11.63689638,up
-0.492683947,0.007769363,0.846602857,-0.032423891,0.440600991,-0.080098905,197.0040241,69.64811516,11.77434881,up
-0.589443564,0.005827022,0.785922348,0.025608309,0.423496783,0.007254825,197.6906084,73.4333855,13.38150342,up
-0.641525865,0.010925665,0.736451864,0.043017969,0.409141421,-0.013820026,197.1052885,75.99940561,13.69905514,up
-0.717304409,0.028892318,0.678452075,0.0483068,0.109909624,0.038176008,195.3070773,74.22517518,13.1288607,up
-0.705456316,0.031805828,0.678939462,0.038682438,0.026147334,0.018730469,193.2184464,72.77646474,11.92619929,up
0.077582695,0.055842295,0.967963934,0.012415238,0.525224209,-0.082673155,11.82387793,17.62339412,176.2298772,up
-0.046898775,0.057299048,1.009879708,-0.316841125,0.929922462,0.039805319,12.69788004,14.0969905,175.2932807,up
-0.205614105,0.033990961,0.95261097,-0.07768739,0.725282609,-0.002649814,12.83841032,15.21297938,176.0640129,up
-0.311506599,0.018937821,0.923611045,-0.167790011,0.586921632,0.001931675,12.89880115,17.77233664,177.0221655,up
-0.441835791,-0.014956006,0.856838107,-0.039813742,0.470551819,-0.021281205,13.73398814,19.40047615,178.1047914,up
-0.539829552,-0.032565497,0.820771039,-0.044395234,0.516977549,0.044386808,13.4213072,20.86360171,179.2489574,up
-0.647943616,-0.006271873,0.744006515,-0.079985306,0.098680608,0.056253385,11.60761109,22.23505759,178.591702,up
-0.632639766,-0.014473554,0.754972875,-0.026682302,0.036817987,0.00157872,11.38592022,27.93792233,180.0628191,up
-0.643994212,-0.006995551,0.735964477,-0.000454146,-0.11121881,-0.008584312,11.36904112,34.4786071,181.2611211,up
-0.627703071,-0.003618388,0.744981229,-0.001317706,-0.067545742,-0.000701436,11.48714277,41.22553285,182.5420275,up
0.172621489,0.052200403,0.999157071,0.011404391,0.088900484,-0.012427581,13.9902816,48.00245337,180.651677,up
0.146679774,0.062397692,1.003543615,-0.078087367,0.637762904,-0.023423156,14.80332854,48.6414005,182.5284491,up
-0.042208895,0.032534208,0.992089868,-0.055790782,1.087054253,-0.089396596,16.78024654,43.84850649,184.6439636,up
-0.311012894,0.00752657,0.92531693,-0.041130017,1.200369716,-0.004486334,17.15531784,34.98286631,185.7425995,up
-0.508481443,0.00097117,0.824426413,-0.006005265,0.814913869,-0.041443679,16.95275833,30.20399126,187.3963659,up
-0.614373982,-0.007719229,0.753023267,0.003463145,0.632570505,-0.075041264,17.07638476,29.74293984,188.8775607,up
-0.688918293,-0.034736529,0.62825048,0.055356722,0.098817736,0.014808223,17.18708846,32.36053129,188.9458489,up
-0.68595624,-0.00940781,0.704283893,-0.003205057,-0.073933154,0.000410905,17.77542388,37.84470191,190.9285299,up
-0.667443573,-0.015920909,0.712082207,-0.023675814,-0.121124357,0.006746886,18.68878239,44.2561595,192.7586927,up
-0.621285319,-0.020262975,0.762040019,0.208453,-1.238702416,0.150911093,23.98042022,63.58699163,197.2725052,up
0.137951732,0.001699548,0.974056304,0.088587441,0.193576813,-0.039684463,15.67443549,33.92047136,206.654535,up
0.048246738,0.015538725,0.940913498,-0.01128903,0.756794572,-0.046403982,12.97446001,33.05367937,206.2633154,up
-0.117740609,0.009954495,0.954316854,0.035442159,0.604383707,-0.073587485,12.97369417,32.75326375,206.918194,up
-0.25226602,0.01505314,0.952367306,0.010702118,0.834679902,-0.017693318,10.21868358,30.8148185,206.3718335,up
-0.387038291,0.039817981,0.929216087,0.027195483,0.787032366,0.038200855,6.766515158,30.65691818,205.336691,up
-0.529215634,0.030591864,0.812972665,-0.12888059,0.605910838,0.036979124,4.157058461,31.43391026,202.1681936,up
-0.638316989,-0.000964904,0.714275479,-0.171335727,0.478545457,0.078212529,1.435081868,32.2725926,199.6449578,up
-0.669171453,0.001942341,0.690636873,-0.034442216,-0.030227106,0.00623026,2.714759644,39.00823488,199.5506875,up
-0.680525899,0.003641889,0.707939327,-0.025486358,-0.071598113,-0.002162591,4.224918952,44.88920192,200.3454346,up
-0.66176641,0.008012155,0.71841836,-0.009464115,-0.071866632,-0.003300808,4.742193937,50.91078549,200.4485705,up
0.087038085,0.011896837,0.987947047,0.010840155,0.056238074,-0.015437448,2.579065984,49.64829674,203.8960675,up
0.071521543,0.00752657,0.985753715,0.022773217,0.07617674,-0.01958701,5.852474484,56.31334559,206.6551634,up
0.045579832,0.022822501,0.985022664,0.055077981,0.111354612,-0.027134353,9.662145256,62.09890514,210.4504673,up
0.017940998,0.03034907,0.98136723,-0.024411064,0.164158583,-0.02330186,13.90874707,66.82446714,214.4434915,up
-0.033569649,0.025736013,0.978442848,0.00796479,0.272281736,-0.03246484,16.24240329,69.47239488,216.5166998,up
-0.109101355,0.037632849,0.988434374,-0.051289134,0.374601662,0.014266353,15.03785162,71.06287956,214.8781647,up
-0.200924218,0.037147261,0.967963934,-0.021356739,0.34375295,0.002965346,15.08559464,72.91545226,215.2798345,up
-0.294721782,0.0293779,0.931409299,0.005521335,0.433244705,0.005103374,10.30922542,73.12374571,210.4974727,up
-0.372474968,0.02743556,0.909476638,-0.020440441,0.365133226,0.005714239,8.468062557,74.20890567,207.9487602,up
-0.439367473,0.03107745,0.88437587,0.031483106,0.427746922,0.035646636,5.923639079,74.92360301,205.3783961,up
0.066430181,0.05487112,0.982098341,0.021916848,-0.005031619,-0.003674465,114.7434215,83.32024142,311.7017926,up
0.066430181,0.046858966,1.014266253,-0.012902472,0.69501996,-0.009172253,116.3951524,83.79448878,312.9376573,up
-0.166120395,0.050015271,0.973325253,-0.031228429,0.848347127,-0.100802042,48.92696729,84.68916842,244.9002066,up
-0.319405317,0.025493219,0.922148883,-0.115833268,0.658673465,0.039696965,11.71342182,81.30539026,206.3568207,up
-0.447266191,0.020151785,0.869022906,-0.057495635,0.410051286,0.017705819,4.572271637,80.16233078,198.5808689,up
-0.500089049,0.020394577,0.840997815,0.023138579,0.611331403,0.154539645,346.1916251,80.20083939,179.714066,up
-0.625975251,0.02646439,0.723535955,-0.051386982,0.388671041,0.10078349,335.6058547,77.62928682,167.5318635,up
-0.718785465,0.053414367,0.666023493,-0.049633827,0.012740189,0.007644882,327.953111,79.59944806,160.2919996,up
