acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction
-1.5403,-0.2091,0.5444,-0.163,-0.3901,-0.2215,85.5617,68.9145,340.2743,uppercut
-1.3729,-0.3773,1.2139,-0.4321,-0.5343,0.8624,108.8652,62.2841,351.2631,uppercut
-1.1382,-0.4352,0.7308,0.6614,-0.3883,1.6413,123.6876,68.6488,2.8618,uppercut
0.0308,0.0236,0.0551,-0.4757,-0.2252,0.9254,151.1206,62.1155,22.6368,uppercut
0.2728,0.0124,1.0062,0.3703,0.9684,-1.4292,139.6606,63.9679,13.9861,uppercut
-0.4919,-0.2422,0.2084,1.7851,0.9104,-1.476,109.4432,75.7796,347.5044,uppercut
-1.2927,-0.138,0.3027,-0.86,-1.8022,0.1648,111.9273,65.1283,349.3024,uppercut
-1.7723,-0.2446,0.9801,0.4836,-0.2347,-0.1711,117.393,59.7232,355.5331,uppercut
-1.3223,-0.0159,0.8763,0.5212,2.1914,-0.5303,114.3706,75.4413,348.0349,uppercut
-1.227,-0.2685,0.0794,1.7723,1.2925,0.4367,302.1455,80.0515,185.7995,uppercut
0.1457,0.1991,0.3614,-0.9718,-0.403,-0.4741,236.5826,84.9241,117.8851,uppercut
-0.2545,-0.2972,0.2235,0.2836,-0.2759,-0.2554,159.1629,89.065,37.4973,uppercut
-0.6983,0.0721,0.3721,0.3508,-2.143,0.3212,133.9943,73.0058,16.7608,uppercut
-1.4704,-0.063,0.8966,0.5872,-2.5355,0.2696,120.7531,52.6234,3.3995,uppercut
-1.0505,-0.0482,1.1069,-0.4595,0.9666,-0.4873,115.1309,52.0033,356.296,uppercut
-1.0777,0.2425,0.9019,-0.9241,1.1517,-0.3171,99.6247,58.1568,343.4284,uppercut
-1.0604,-0.2808,0.4781,-0.9278,0.5378,0.6728,101.7367,68.4491,332.1214,uppercut
0.266,-0.0118,0.4691,-1.6394,-0.3419,1.0271,133.0149,63.6757,354.9231,uppercut
0.0099,-0.4796,0.4881,1.9708,0.7943,-0.6137,123.6621,64.033,350.18,uppercut
-0.7904,-0.2774,0.3814,1.3107,0.5506,-0.3898,106.2829,64.6167,337.8707,uppercut
-0.9313,0.59,0.5902,-0.8981,-1.2652,-0.8031,120.6686,48.116,4.0725,uppercut
-1.4635,-0.131,0.8861,-0.469,-0.6852,0.6392,120.2888,38.9196,10.1809,uppercut
-1.6916,0.2605,0.9923,0.1974,0.5533,-0.5432,122.1052,43.358,19.7542,uppercut
-0.6154,-0.075,0.6636,-1.7451,2.0255,0.1489,127.2592,53.0706,17.4309,uppercut
0.2143,0.0388,0.8992,-2.534,-0.0392,0.4254,131.8257,48.1772,359.4037,uppercut
-0.4715,0.1073,0.3502,0.5126,-0.2692,0.3237,131.3858,49.9988,4.1783,uppercut
-0.4073,-0.0248,0.1555,-0.0335,-1.0392,-0.9375,124.847,48.3487,0.321,uppercut
-1.3998,0.0927,0.5154,-0.2598,-2.4411,-0.3171,124.4801,30.3959,1.2703,uppercut
-1.5188,-0.9048,1.3681,0.4134,0.6172,0.1358,123.1443,31.611,350.1046,uppercut
-1.2571,-0.798,0.7006,2.8953,1.1801,0.4547,121.4592,49.7589,342.9817,uppercut
-0.5766,0.1432,0.6324,-1.3471,1.8991,1.7913,137.014,62.0961,352.5066,uppercut
-0.0133,0.3062,0.27,-1.3862,0.4758,-0.5786,134.3126,65.06,346.1645,uppercut
-0.3401,0.288,0.4287,0.5246,-0.851,-0.1076,141.9124,60.6689,0.348,uppercut
-0.7166,-0.0864,0.474,-0.1953,-2.2301,-1.4424,127.4629,44.2284,341.4527,uppercut
-1.0175,-0.1739,1.0062,1.4512,-2.2701,-0.282,131.1693,26.6534,352.1975,uppercut
-0.84,-0.0921,1.2809,0.1987,-0.5639,-0.7099,135.2908,14.5742,0.8269,uppercut
-0.9859,-0.1011,0.9438,0.3031,1.5995,-0.1797,135.4948,30.4322,1.6282,uppercut
-0.8943,-0.0842,0.9743,-0.0243,1.2201,-0.0746,123.5177,37.4652,1.8686,uppercut
-0.3409,-0.241,0.2583,-0.1065,-0.9027,1.3417,130.9912,40.2256,356.8264,uppercut
0.3123,0.0447,0.7774,-0.0078,1.6621,-0.7591,127.7939,42.8888,358.5153,uppercut
-0.016,0.1199,0.201,-0.0723,0.0421,-0.5334,131.8275,49.2937,4.0591,uppercut
-1.3487,-0.2494,0.659,0.7918,-2.4353,0.8453,129.9124,28.1122,11.5086,uppercut
-1.3731,-0.4914,1.622,-0.659,0.8655,-0.0606,129.5994,29.8894,358.7852,uppercut
-1.3179,-0.1778,0.6865,0.1232,2.7225,0.3163,121.5638,54.3422,353.4099,uppercut
-0.6618,-0.2511,0.9139,0.1315,1.0851,0.3511,138.0766,59.6098,0.8501,uppercut
0.2526,-0.0654,0.3453,0.1101,1.1138,-0.7139,135.8932,66.5842,353.9314,uppercut
-0.1234,-0.1684,0.4326,0.6278,-0.8293,0.5594,148.1641,58.4972,2.0739,uppercut
-0.7284,-0.4127,0.9258,1.1702,-2.1827,-0.373,143.7263,41.917,349.745,uppercut
-1.4556,0.33,0.9387,0.3581,-2.066,-0.0584,149.1178,27.3074,358.7034,uppercut
-1.386,-0.48,1.587,0.6409,1.5943,-0.2939,143.2934,30.3283,351.3933,uppercut
-1.0239,0.0893,0.7567,0.4186,3.2127,-1.0636,130.9009,54.0668,343.3389,uppercut
-1.0086,0.2139,0.2734,-1.8838,0.9052,0.9599,135.9106,67.9715,4.8421,uppercut
-0.2695,-0.0328,-0.0911,-0.447,-1.0215,0.2021,140.6238,67.4925,5.6943,uppercut
-0.0583,-0.0451,0.3592,0.2769,-0.9081,-0.2762,138.3228,57.0858,3.6948,uppercut
-0.6124,-0.0813,0.3651,-0.5219,-1.9689,-0.8123,123.7459,45.1807,352.0139,uppercut
-1.4899,-0.7811,1.4546,3.7179,-2.238,0.8212,128.4858,24.0585,350.0376,uppercut
-1.0147,0.1765,1.1658,-2.0209,0.3316,-0.2729,127.3079,22.3675,354.2793,uppercut
-1.0199,-0.3206,1.315,-0.5441,1.7769,0.8689,126.702,37.7784,342.6778,uppercut
-0.6637,-0.4564,0.172,-0.3242,-0.0829,0.2012,126.1779,50.4755,319.0604,uppercut
0.2921,-0.205,0.6066,-0.7124,-0.5306,0.1196,136.026,47.4655,320.8833,uppercut
0.0015,-0.2948,0.6512,1.8153,0.126,-0.0557,137.1104,48.155,336.7748,uppercut
-0.9686,-0.3269,0.4457,1.9488,-0.9717,-0.8058,125.5271,39.7275,335.5834,uppercut
