acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
-0.081191,0.562481,0.784094,0.035525,-0.022997,-0.003947,left
-0.081679,0.577731,0.786595,0.041274,-0.030548,-0.002231,left
-0.08357,0.560407,0.789584,0.014416,-0.01802,-0.005663,left
-0.082228,0.564494,0.787571,0.029947,-0.025828,-0.003604,left
-0.082899,0.56364,0.788059,0.024884,-0.001802,-0.006436,left
-0.082777,0.562542,0.788669,0.032264,-0.02394,-0.000858,left
-0.083143,0.561078,0.789706,0.022739,-0.021709,-0.004719,left
-0.086681,0.560041,0.791597,0.01433,-0.011842,-0.004891,left
-0.084485,0.56303,0.788913,0.025657,-0.023426,-0.005234,left
-0.083143,0.56303,0.788913,0.022911,-0.020851,-0.003175,left
-0.076738,0.562908,0.787022,0.025485,-0.021967,-0.004977,left
-0.074908,0.563274,0.786717,0.027287,-0.025914,-0.004119,left
-0.076311,0.563152,0.787266,0.025914,-0.024026,-0.003089,left
-0.076677,0.563762,0.786839,0.02969,-0.02497,-0.004033,left
-0.076555,0.563213,0.787937,0.022568,-0.000601,-0.006521,left
-0.077409,0.56303,0.788547,0.019736,-0.018277,-0.005749,left
-0.07686,0.563213,0.788303,0.020937,-0.024284,-0.006264,left
-0.076006,0.563274,0.788059,0.025571,-0.02763,-0.005148,left
-0.076067,0.563762,0.787876,0.029003,-0.027373,-0.008924,left
-0.076128,0.564982,0.786961,0.027201,-0.02334,-0.00635,left
-0.084668,0.352031,0.906338,0.009954,-0.027973,-0.013214,left
-0.085522,0.354288,0.904935,0.022911,-0.017848,-0.010383,left
-0.082594,0.353556,0.904569,0.025571,-0.04033,-0.004891,left
-0.08723,0.356789,0.921283,0.029604,-0.023254,-0.003861,left
-0.085278,0.355752,0.905118,0.023426,-0.007122,-0.008323,left
-0.084241,0.356789,0.904691,0.025828,-0.014244,-0.004033,left
-0.082716,0.35685,0.904569,0.022825,-0.021709,-0.006178,left
-0.082167,0.359046,0.904325,0.030977,-0.017762,-0.004634,left
-0.079605,0.354227,0.904874,0.025313,-0.024713,-0.005921,left
-0.081679,0.355752,0.890356,0.034495,-0.011927,-0.015875,left
-0.097539,0.341356,0.910059,0.017247,-0.024026,0,left
-0.095221,0.340563,0.910791,0.020165,-0.000429,0.000772,left
-0.097051,0.342149,0.911096,0.020337,-0.000343,-0.004462,left
-0.098088,0.343918,0.911096,0.031921,-0.021452,-0.003861,left
-0.096807,0.343064,0.910425,0.02703,-0.020766,0.021023,left
-0.094123,0.341539,0.909937,0.035525,-0.029346,0.000429,left
-0.097661,0.341173,0.91073,0.029003,-0.026,0.02128,left
-0.098332,0.338855,0.911157,0.049511,-0.046594,-0.002746,left
-0.101443,0.335683,0.913048,0.035954,-0.023082,-0.002145,left
-0.103822,0.333975,0.913292,0.036211,-0.022653,0.000343,left
-0.109983,0.282491,0.931043,0.011327,-0.028317,-0.008838,left
