acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
-0.141154,-0.567849,0.805932,0.007465,-0.029432,-0.006092,right
-0.138714,-0.568581,0.806603,0.032178,-0.022653,-0.012785,right
-0.141154,-0.567117,0.807335,0.042561,-0.020508,0.007723,right
-0.146888,-0.565836,0.804956,0.024799,-0.023855,-0.006779,right
-0.138287,-0.572851,0.802638,0.035439,-0.015445,0.011327,right
-0.146156,-0.565226,0.80642,0.023426,-0.034237,0.009353,right
-0.144631,-0.565714,0.807396,0.021109,-0.02128,-0.003518,right
-0.142801,-0.566507,0.805078,0.012785,-0.031148,-0.009868,right
-0.144692,-0.56608,0.805017,0.007723,-0.026601,-0.010726,right
-0.143411,-0.56547,0.806847,0.025485,-0.030805,0.006607,right
-0.157075,-0.731634,0.664229,0.017076,-0.010898,-0.024026,right
-0.158112,-0.732061,0.662277,0.01536,-0.037069,-0.017419,right
-0.160613,-0.731817,0.664229,0,-0.029518,-0.001201,right
-0.15921,-0.729072,0.666547,0.025228,-0.023254,-0.002145,right
-0.158417,-0.73017,0.666242,0.02763,-0.000172,-0.008667,right
-0.158417,-0.729499,0.665632,0.020337,-0.022739,-0.015703,right
-0.159393,-0.728889,0.665144,0.031492,-0.026257,-0.021538,right
-0.162809,-0.728706,0.665449,0.028488,-0.029175,-0.004462,right
-0.163602,-0.727242,0.666242,0.031148,-0.029346,-0.009611,right
-0.16531,-0.726266,0.666181,0.034581,-0.034581,-0.010554,right
-0.136335,-0.499163,0.851499,0.027716,-0.023855,-0.005835,right
-0.134261,-0.501481,0.847717,0.013644,-0.043591,-0.026601,right
-0.13664,-0.503006,0.846497,0.045822,-0.024627,-0.006178,right
-0.134688,-0.503006,0.846558,0.019393,-0.024884,-0.007809,right
-0.13481,-0.502152,0.845155,0.026944,-0.022825,-0.003518,right
-0.132248,-0.502884,0.845887,0.034495,-0.016647,-0.005406,right
-0.13664,-0.504348,0.846009,0.00429,-0.009181,-0.009525,right
-0.133041,-0.504287,0.844667,0.021624,-0.024799,-0.007809,right
-0.133346,-0.505263,0.845277,0.025313,-0.025742,-0.010469,right
-0.131943,-0.505751,0.843142,0.018964,-0.020766,-0.007122,right
-0.165249,-0.692472,0.703391,0.022825,-0.000172,-0.006092,right
-0.166164,-0.691008,0.702964,0.043848,-0.023511,0.001287,right
-0.169458,-0.691618,0.704672,0.011927,-0.019135,0.009954,right
